days,len_day,Period_T,R,length_macroperiod,length_microperiod_energy,J,n_scenario,startup_cost,startup_time,initial_stock,capacity_unit,holding_cost,energy_startup,energy_product,D_0,D_1,D_2,D_3,D_4,scenario0,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,scenario10,scenario11,scenario12,scenario13,scenario14,scenario15,scenario16,scenario17,scenario18,scenario19,scenario20,scenario21,scenario22,scenario23,scenario24,scenario25,scenario26,scenario27,scenario28,scenario29,scenario30,scenario31,scenario32,scenario33,scenario34,scenario35,scenario36,scenario37,scenario38,scenario39,scenario40,scenario41,scenario42,scenario43,scenario44,scenario45,scenario46,scenario47,scenario48,scenario49,scenario50,scenario51,scenario52,scenario53,scenario54,scenario55,scenario56,scenario57,scenario58,scenario59,scenario60,scenario61,scenario62,scenario63,scenario64,scenario65,scenario66,scenario67,scenario68,scenario69,scenario70,scenario71,scenario72,scenario73,scenario74,scenario75,scenario76,scenario77,scenario78,scenario79,scenario80,scenario81,scenario82,scenario83,scenario84,scenario85,scenario86,scenario87,scenario88,scenario89,scenario90,scenario91,scenario92,scenario93,scenario94,scenario95,scenario96,scenario97,scenario98,scenario99,battery_cap,charge_lim,discharge_lim,charge_efficiency,discharge_efficiency,trans_efficiency,energy_purchase_price
4.0,16.0,8.0,64.0,480.0,60.0,5.0,100.0,200.0,60.0,802.0,0.05,0.05,10.0,0.13,1169.0,1184.0,1165.0,1190.0,1085.0,0.0,2.07,4.54,3.9,1.06,1.43,0.0,6.45,3.99,3.08,0.0,4.14,4.9,1.13,5.74,0.18,0.0,2.19,5.36,3.4,0.0,8.79,5.46,3.73,2.03,5.19,0.0,1.51,3.64,1.24,7.71,0.45,0.53,8.81,1.79,0.0,6.5,0.0,2.8,3.69,3.83,0.06,3.39,0.72,0.0,0.01,1.66,0.51,2.03,5.36,4.03,2.29,1.78,3.11,3.26,1.81,5.25,4.54,0.57,4.22,4.5,4.12,7.02,6.66,0.0,3.1,6.11,3.8,4.38,2.66,6.22,6.43,0.47,0.0,2.24,0.17,5.89,3.63,5.23,1.43,3.34,3.8,1.57,0.0,0.0,0.0,2.26,3.42,3.71,3.7,4.24,1.42,3.68,5.07,4.5,0.37,6.05,2.55,6.31,0.0,100.0,100.0,100.0,0.95,0.95,0.95,0.96
,,,,,,,,200.0,60.0,735.0,0.05,0.05,10.0,0.13,1169.0,1167.0,1174.0,1170.0,1140.0,1.99,8.63,17.47,16.64,5.85,7.06,1.37,24.88,15.12,13.41,0.0,14.73,16.94,3.95,21.68,4.68,0.89,10.4,22.46,13.74,0.0,33.47,19.9,12.31,9.1,19.26,0.0,6.28,14.59,6.54,28.06,4.88,4.31,30.62,9.4,0.0,22.4,4.3,11.79,13.82,14.19,4.93,13.97,3.29,0.0,2.45,10.54,3.09,11.29,21.94,17.45,7.95,10.24,10.6,11.16,8.11,17.87,16.2,2.74,14.57,15.88,17.99,25.29,25.01,0.0,11.58,23.72,15.44,16.34,11.21,20.32,22.14,3.03,0.0,9.52,2.83,20.85,15.02,19.39,8.38,13.44,14.35,7.17,5.99,0.95,0.0,9.5,12.37,14.02,13.12,15.44,8.65,12.84,18.45,18.52,1.92,21.75,10.48,23.83,0.0,,,,,,,1.22
,,,,,,,,200.0,60.0,173.0,0.05,0.05,10.0,0.13,1139.0,1163.0,1127.0,1140.0,1114.0,8.07,27.01,45.26,39.65,19.19,22.64,9.47,59.64,40.57,35.61,2.49,35.3,36.6,13.35,54.39,16.45,12.15,26.79,45.16,32.62,0.0,74.94,41.97,30.52,21.88,46.67,0.0,19.92,33.8,22.49,57.72,19.62,15.71,72.46,24.95,8.19,53.92,14.91,26.68,38.81,31.65,17.34,34.78,13.53,0.0,10.38,26.45,12.45,31.72,48.35,46.07,23.04,21.6,25.63,27.76,22.41,39.96,35.92,15.53,38.29,40.18,42.32,56.79,60.51,0.0,25.59,52.11,33.14,33.85,32.28,52.08,47.04,15.33,0.0,19.91,15.2,47.09,38.41,45.25,23.0,35.54,31.07,20.55,15.77,7.8,0.0,26.02,29.33,35.23,27.46,36.54,22.35,28.71,41.07,43.93,8.47,52.62,28.22,48.14,0.0,,,,,,,1.26
,,,,,,,,200.0,60.0,1686.0,0.05,0.05,10.0,0.13,1151.0,1157.0,1130.0,1142.0,1123.0,27.73,43.07,70.39,64.45,42.15,49.26,20.87,95.06,68.62,62.77,12.23,68.33,60.47,26.03,90.75,37.56,34.25,46.38,67.45,57.79,5.66,120.41,70.59,50.41,36.02,85.31,14.15,41.42,58.01,27.44,85.02,46.01,31.47,113.04,43.46,25.11,100.61,27.23,46.98,68.84,51.91,37.24,62.22,29.25,0.0,28.66,48.7,28.62,59.62,77.57,78.32,39.11,45.51,53.44,51.86,41.57,60.99,67.95,26.86,65.88,67.56,68.82,88.77,99.08,10.77,40.77,82.7,60.84,59.48,54.3,95.53,66.72,27.81,0.0,27.38,36.29,82.32,70.13,73.68,43.69,69.81,61.48,29.34,34.19,24.78,2.02,59.99,47.98,71.25,53.25,63.7,44.09,60.51,73.33,69.14,27.35,99.01,56.3,75.73,0.0,,,,,,,1.2
,,,,,,,,200.0,60.0,1047.0,0.05,0.05,10.0,0.13,1098.0,1177.0,1124.0,1220.0,1156.0,42.32,57.15,96.91,72.68,41.47,69.53,45.16,127.66,93.34,80.05,19.91,94.05,84.61,52.57,107.37,79.96,70.33,75.24,101.24,75.83,14.74,138.57,97.7,74.14,54.06,106.05,31.25,65.16,75.99,43.21,107.08,76.99,52.32,135.64,64.58,56.51,122.42,46.12,76.55,95.98,75.6,45.2,88.33,46.3,10.53,57.7,63.39,50.87,70.62,94.58,105.86,55.41,66.54,74.89,77.74,55.59,91.03,98.51,35.35,89.87,88.64,98.71,117.86,102.56,31.33,64.45,100.35,87.84,68.01,61.24,122.11,87.47,40.14,7.47,49.04,64.53,117.74,106.31,105.13,63.24,107.05,85.32,47.91,56.27,39.04,21.47,89.48,72.98,114.94,72.14,95.79,71.16,88.67,94.21,94.89,51.78,130.83,88.48,93.38,0.0,,,,,,,1.12
,,,,,,,,,,,,,,,1154.0,1151.0,1141.0,1134.0,1156.0,35.19,72.04,113.13,79.53,40.69,76.42,47.82,135.06,95.28,91.29,34.82,101.81,89.38,70.71,95.4,84.58,82.6,95.62,102.03,78.97,36.83,129.98,91.66,75.15,51.65,107.52,38.47,83.21,73.92,72.32,117.39,71.8,57.5,137.38,68.58,74.52,105.67,64.09,87.33,90.5,71.23,43.84,90.96,68.83,17.61,70.31,74.83,63.44,80.35,98.19,108.38,65.86,67.92,78.89,75.02,66.91,93.57,110.26,54.77,104.24,97.51,90.88,120.73,104.0,61.56,79.98,103.82,95.26,62.46,62.13,125.61,87.44,47.9,22.59,55.79,80.61,114.51,112.18,110.99,83.96,114.92,90.34,45.98,59.36,57.45,24.24,94.47,83.56,118.64,94.45,111.04,81.48,81.99,105.85,99.39,53.93,125.47,94.67,95.92,14.22,,,,,,,0.8
,,,,,,,,,,,,,,,1101.0,1189.0,1129.0,1177.0,1160.0,53.3,73.51,126.27,90.52,50.91,97.25,52.24,140.85,97.53,115.88,39.03,102.42,101.8,75.9,93.06,90.27,85.05,106.26,97.72,86.67,70.07,125.08,101.07,91.22,64.72,104.77,55.19,96.7,79.71,81.02,135.48,87.04,46.44,145.18,72.79,73.18,90.77,83.85,89.46,97.51,69.35,51.73,96.6,66.65,13.69,87.59,96.71,71.79,98.04,109.97,117.59,64.61,77.68,79.15,87.3,61.23,112.77,129.23,69.18,120.41,100.57,103.63,119.06,104.53,57.89,91.31,120.86,119.36,68.04,77.17,146.48,89.65,64.49,22.97,77.83,108.72,122.32,122.59,113.22,108.95,118.23,107.1,52.22,77.35,57.6,29.95,103.84,78.43,116.26,106.83,124.22,103.27,96.31,105.49,122.54,52.74,122.68,84.53,106.87,23.73,,,,,,,0.74
,,,,,,,,,,,,,,,1085.0,1143.0,1125.0,1167.0,1098.0,59.89,83.87,119.87,86.03,60.13,89.02,55.47,124.24,89.42,116.6,44.84,98.96,113.66,88.71,90.36,100.92,80.6,92.15,112.37,69.82,80.68,127.37,109.08,88.98,59.23,91.54,66.17,80.58,78.01,69.37,128.76,86.93,64.26,133.95,76.52,65.72,90.02,84.42,79.92,103.2,79.08,56.95,93.37,69.41,41.36,90.61,94.29,80.3,93.03,108.95,98.37,57.49,88.73,71.61,91.26,58.22,126.95,136.27,73.35,114.19,92.05,99.32,107.2,95.78,60.3,78.2,113.93,123.8,69.66,93.93,131.21,105.13,64.53,29.65,80.79,110.71,121.39,116.74,112.65,110.81,120.53,106.68,48.77,76.23,67.71,37.03,95.6,68.88,111.25,106.79,117.07,98.97,111.22,100.91,109.99,60.27,115.27,83.74,113.3,34.76,,,,,,,0.76
,,,,,,,,,,,,,,,,,,,,59.88,76.15,85.99,71.96,59.14,73.72,51.07,98.52,76.22,95.99,54.82,61.39,92.01,74.52,79.65,95.24,56.44,74.19,98.89,70.8,67.7,95.49,96.37,79.86,47.85,66.34,73.52,60.6,57.87,57.95,106.43,79.77,59.65,99.65,55.32,50.91,64.43,63.39,64.58,100.55,57.22,57.47,66.13,55.7,46.42,87.98,83.37,71.57,64.18,84.9,65.2,47.87,60.8,65.84,80.07,61.73,105.08,90.07,56.78,83.45,75.85,82.45,89.02,80.57,68.81,73.89,82.93,106.5,66.16,80.52,100.67,78.71,52.88,37.38,72.22,86.38,91.73,100.56,97.3,95.93,109.08,78.78,58.69,75.42,55.66,36.9,80.32,53.01,91.21,94.22,93.83,79.29,103.24,87.99,92.67,56.84,99.78,67.6,102.97,58.67,,,,,,,0.9
,,,,,,,,,,,,,,,,,,,,37.87,43.1,42.78,41.17,26.96,40.9,31.44,58.65,54.7,52.5,41.41,31.37,53.68,48.19,45.49,59.68,40.7,49.9,55.47,41.52,44.79,54.45,58.41,42.9,28.35,34.57,42.89,31.51,35.58,29.36,62.54,43.21,41.21,61.59,29.92,39.65,49.1,33.12,45.22,63.69,43.43,39.45,39.89,31.47,33.66,53.27,49.5,48.75,40.73,46.6,37.66,29.41,37.74,37.66,41.68,43.15,68.58,51.71,28.16,53.87,47.81,48.04,55.06,48.39,45.44,46.41,50.46,55.76,41.67,52.22,50.64,44.79,32.38,23.67,45.23,46.39,52.01,57.03,47.12,54.15,64.37,44.45,39.21,52.59,35.84,26.49,45.49,27.58,54.16,44.6,55.31,43.33,59.86,48.84,49.3,34.97,60.28,41.88,57.67,44.62,,,,,,,1.02
