days,len_day,Period_T,R,length_macroperiod,length_microperiod_energy,J,n_scenario,startup_cost,startup_time,initial_stock,capacity_unit,holding_cost,energy_startup,energy_product,D_0,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,scenario0,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,scenario10,scenario11,scenario12,scenario13,scenario14,scenario15,scenario16,scenario17,scenario18,scenario19,scenario20,scenario21,scenario22,scenario23,scenario24,scenario25,scenario26,scenario27,scenario28,scenario29,scenario30,scenario31,scenario32,scenario33,scenario34,scenario35,scenario36,scenario37,scenario38,scenario39,scenario40,scenario41,scenario42,scenario43,scenario44,scenario45,scenario46,scenario47,scenario48,scenario49,scenario50,scenario51,scenario52,scenario53,scenario54,scenario55,scenario56,scenario57,scenario58,scenario59,scenario60,scenario61,scenario62,scenario63,scenario64,scenario65,scenario66,scenario67,scenario68,scenario69,scenario70,scenario71,scenario72,scenario73,scenario74,scenario75,scenario76,scenario77,scenario78,scenario79,scenario80,scenario81,scenario82,scenario83,scenario84,scenario85,scenario86,scenario87,scenario88,scenario89,scenario90,scenario91,scenario92,scenario93,scenario94,scenario95,scenario96,scenario97,scenario98,scenario99,battery_cap,charge_lim,discharge_lim,charge_efficiency,discharge_efficiency,trans_efficiency,energy_purchase_price
4.0,16.0,8.0,64.0,480.0,60.0,12.0,100.0,200.0,60.0,426.0,0.05,0.05,10.0,0.13,552.0,577.0,546.0,535.0,560.0,577.0,556.0,563.0,564.0,557.0,560.0,553.0,4.78,2.15,3.73,1.69,3.53,4.89,5.09,0.94,0.59,2.7,4.25,1.57,1.6,8.26,6.18,5.14,8.6,2.55,1.26,3.82,2.15,4.69,3.5,2.3,4.18,1.2,3.74,3.08,1.96,4.99,1.21,1.46,3.85,5.42,1.21,1.49,4.75,4.36,3.76,5.01,2.02,5.95,3.97,0.52,4.41,5.75,0.87,2.82,1.83,4.79,5.53,5.62,3.22,6.72,0.0,3.5,5.13,0.97,1.2,1.56,1.81,6.08,2.87,0.0,7.74,0.72,2.82,3.49,1.96,0.14,6.65,6.51,0.0,1.32,1.18,2.96,1.61,2.56,3.79,4.37,3.21,0.46,0.0,5.35,0.0,1.99,4.2,0.51,4.58,4.21,3.04,2.97,6.33,4.07,3.16,1.73,5.02,2.06,0.0,4.63,100.0,250.0,250.0,0.95,0.95,0.95,0.96
,,,,,,,,200.0,60.0,737.0,0.05,0.05,10.0,0.13,535.0,559.0,565.0,558.0,551.0,562.0,540.0,552.0,563.0,565.0,567.0,558.0,17.1,11.65,16.49,9.75,13.75,17.04,18.16,5.8,5.47,10.72,15.67,6.79,7.44,28.47,22.73,18.52,30.82,10.6,5.47,15.16,9.23,18.57,13.43,10.79,14.09,5.91,13.44,11.49,7.82,18.03,6.0,8.45,15.67,19.33,5.5,7.93,16.37,15.94,14.63,17.65,9.67,21.24,17.05,2.34,17.73,20.31,5.36,9.72,9.21,16.37,20.99,19.6,10.84,24.46,4.03,13.86,17.73,6.95,5.35,6.36,8.9,19.88,11.24,1.61,29.71,3.84,12.4,13.6,10.48,2.11,25.74,21.61,0.0,6.42,6.27,12.03,7.85,10.07,15.89,16.07,12.77,1.21,0.0,20.39,0.3,7.53,16.61,6.28,15.0,16.49,11.08,9.01,23.28,14.47,10.99,8.69,21.54,9.37,0.0,17.27,,,,,,,1.22
,,,,,,,,200.0,60.0,97.0,0.05,0.05,10.0,0.13,543.0,547.0,558.0,547.0,581.0,593.0,566.0,563.0,562.0,575.0,561.0,577.0,43.05,28.98,41.81,26.06,32.74,41.08,36.25,18.34,13.01,30.56,37.93,18.18,21.47,65.09,54.07,48.71,66.02,28.08,16.74,42.76,22.62,41.22,32.33,28.73,36.9,10.32,27.29,28.26,23.73,37.7,16.74,21.6,34.61,47.28,18.25,18.3,39.44,34.68,32.21,32.14,25.5,50.32,46.64,6.58,39.83,42.1,11.09,23.1,21.59,39.35,45.85,44.22,26.79,57.98,13.7,32.01,44.98,14.6,11.84,17.5,24.94,46.07,28.31,11.49,72.23,18.83,30.99,33.75,30.88,12.4,59.21,49.74,3.1,19.19,14.11,28.25,22.22,26.12,40.47,33.47,32.23,5.91,0.0,43.26,7.74,21.37,44.47,17.47,34.63,42.17,28.39,20.3,54.15,31.1,26.99,29.75,52.07,29.21,3.78,41.35,,,,,,,1.26
,,,,,,,,200.0,60.0,1042.0,0.05,0.05,10.0,0.13,577.0,569.0,542.0,559.0,550.0,576.0,555.0,556.0,568.0,563.0,543.0,570.0,77.97,50.25,62.98,52.72,58.37,68.51,60.45,43.79,28.99,59.04,61.57,48.14,27.07,103.25,88.05,86.14,102.32,49.29,35.21,77.68,46.65,70.44,50.81,50.38,72.46,17.99,46.09,54.79,42.68,61.37,38.95,45.16,63.09,67.9,35.6,38.58,66.83,47.78,53.73,48.56,50.5,89.59,73.8,14.92,72.52,64.51,20.06,45.04,33.54,64.7,66.79,75.24,50.44,93.51,24.25,51.88,73.3,32.49,26.16,40.53,49.3,76.72,52.0,33.39,120.85,40.46,55.01,51.01,55.45,22.49,90.57,85.83,22.28,35.86,25.43,56.03,42.24,57.94,68.68,42.92,67.59,30.84,8.59,74.14,29.1,43.42,62.58,29.03,65.17,62.2,50.6,32.98,91.12,64.44,45.73,52.76,91.89,53.34,17.61,67.33,,,,,,,1.2
,,,,,,,,200.0,60.0,1645.0,0.05,0.05,10.0,0.13,560.0,546.0,568.0,566.0,552.0,545.0,550.0,545.0,557.0,526.0,576.0,546.0,105.72,70.58,74.28,71.93,85.33,92.86,84.99,69.52,39.81,61.3,80.66,84.24,34.9,123.39,109.82,119.16,120.33,60.91,57.31,93.0,63.49,89.83,67.93,80.79,108.28,20.84,70.51,87.2,76.62,76.4,74.44,61.64,67.21,88.18,54.55,66.84,96.32,76.49,62.47,67.68,77.37,123.87,92.71,23.93,98.79,89.6,42.35,74.01,47.96,75.11,83.55,111.13,80.24,123.57,56.76,75.39,99.25,46.39,40.47,62.92,68.91,102.21,82.26,52.7,147.96,57.6,61.62,75.29,72.88,37.17,105.19,113.15,33.37,46.93,43.13,86.92,61.02,87.64,93.35,63.66,98.22,47.19,23.89,92.09,40.72,72.58,77.63,39.0,88.01,83.93,75.28,49.39,112.77,80.29,68.83,49.65,127.19,74.06,27.41,79.22,,,,,,,1.12
,,,,,,,,200.0,60.0,1685.0,0.05,0.05,10.0,0.13,557.0,569.0,566.0,561.0,574.0,566.0,566.0,574.0,559.0,541.0,557.0,567.0,102.87,80.12,76.45,84.19,93.07,110.85,91.57,79.91,44.91,56.3,81.74,99.36,45.79,117.99,121.07,121.39,124.03,72.79,66.78,97.29,66.47,93.87,75.98,96.79,97.23,30.38,88.31,96.88,83.66,83.27,93.25,70.04,89.48,96.23,68.76,75.94,102.16,88.87,68.15,67.82,74.18,134.31,102.22,33.19,89.89,90.75,58.12,88.85,60.06,81.06,75.47,106.94,96.43,119.46,66.59,80.06,100.05,66.12,62.64,53.3,83.43,100.37,77.81,58.58,149.27,65.43,63.44,76.7,76.4,52.89,88.54,103.59,45.0,66.67,51.33,99.84,74.06,66.42,99.42,63.63,97.08,46.98,40.88,92.86,40.82,79.04,82.66,52.39,85.4,85.56,73.31,52.03,109.39,81.22,89.92,55.48,133.69,88.52,30.85,73.18,,,,,,,0.8
,,,,,,,,200.0,60.0,1707.0,0.05,0.05,10.0,0.13,561.0,559.0,574.0,584.0,565.0,566.0,564.0,578.0,598.0,578.0,552.0,560.0,102.12,101.33,71.06,106.75,100.37,121.82,111.05,84.78,64.64,59.77,91.01,107.62,39.25,112.27,127.99,133.93,134.56,82.33,69.93,99.77,86.98,101.61,70.35,104.24,100.66,45.29,108.63,102.38,81.47,94.65,96.03,81.66,106.55,122.05,70.62,78.45,115.81,110.0,80.8,77.37,77.33,141.04,108.41,62.86,82.09,96.32,69.38,106.39,62.04,107.57,83.0,121.61,102.68,122.94,69.18,86.78,106.53,76.98,83.55,61.07,91.96,121.69,103.13,71.45,143.08,65.17,60.17,77.39,95.76,51.39,100.53,118.84,51.61,71.82,62.34,92.77,70.71,62.69,110.62,80.82,111.66,33.01,57.96,88.59,42.07,72.01,99.37,68.81,83.55,91.1,82.01,60.35,126.69,85.14,108.79,75.37,142.18,97.1,55.97,79.29,,,,,,,0.74
,,,,,,,,200.0,60.0,2219.0,0.05,0.05,10.0,0.13,555.0,554.0,577.0,581.0,545.0,539.0,539.0,564.0,580.0,566.0,548.0,553.0,97.42,117.64,57.63,92.62,102.7,117.41,102.07,81.95,83.57,72.49,97.17,98.11,38.67,111.31,127.29,134.2,114.12,78.95,57.14,87.85,92.75,76.1,85.02,87.54,100.98,64.17,115.0,114.54,94.48,101.47,80.78,88.4,92.58,124.51,89.42,86.61,97.45,96.34,76.98,80.97,80.01,129.18,97.56,66.75,72.41,88.34,69.33,104.94,75.33,105.39,80.7,120.07,88.03,122.05,72.61,101.19,108.38,80.26,93.28,81.03,103.64,103.85,110.54,88.24,134.24,51.15,60.91,80.36,92.9,80.75,77.91,113.93,71.49,75.43,89.85,92.54,71.15,57.56,112.63,70.33,103.66,43.11,56.33,89.76,47.95,79.36,100.04,59.78,80.08,80.46,80.81,72.49,115.56,92.76,102.68,78.68,131.43,100.03,62.7,74.38,,,,,,,0.76
,,,,,,,,200.0,60.0,509.0,0.05,0.05,10.0,0.13,,,,,,,,,,,,,72.6,111.03,54.37,72.72,88.08,96.08,80.38,78.24,65.3,59.77,89.64,78.84,33.98,99.01,117.39,98.45,98.86,68.98,42.64,70.64,65.52,65.8,73.14,67.34,81.94,61.1,88.98,93.87,86.35,93.69,73.81,68.7,80.47,101.05,68.34,78.18,85.71,86.44,75.09,81.77,67.79,108.9,72.75,64.77,48.29,79.2,64.05,90.32,78.39,93.09,67.46,82.6,74.2,104.85,60.36,98.48,82.34,72.43,79.51,70.67,80.95,79.42,90.97,62.04,105.05,25.65,60.0,73.56,81.43,74.68,68.72,90.26,66.0,75.51,85.61,81.96,68.94,38.33,80.89,51.2,92.73,48.28,48.71,70.14,50.22,61.74,68.65,49.79,75.27,81.49,74.52,47.95,84.77,78.83,92.73,77.63,94.79,70.63,57.79,79.03,,,,,,,0.9
,,,,,,,,200.0,60.0,1232.0,0.05,0.05,10.0,0.13,,,,,,,,,,,,,38.93,64.17,39.52,42.63,56.64,49.04,49.8,46.56,31.87,44.45,59.06,49.57,20.6,59.38,65.98,58.26,59.65,38.11,33.2,43.47,38.24,36.91,46.1,42.43,52.54,46.37,49.74,53.02,54.89,53.93,46.54,38.39,44.08,56.28,40.75,48.29,52.67,52.19,38.18,56.41,50.08,63.94,39.37,39.49,32.68,53.29,45.75,53.8,54.12,51.28,40.37,41.95,42.05,58.51,39.63,57.15,49.82,48.41,47.15,44.02,43.29,34.53,61.02,29.89,68.45,18.6,39.12,47.5,46.99,47.31,51.08,47.31,40.21,50.25,54.11,48.01,45.56,23.97,48.68,32.92,56.16,30.98,31.47,41.1,28.97,33.51,39.03,36.97,45.36,56.61,37.53,24.64,50.85,35.12,51.24,54.42,51.56,39.88,39.16,53.39,,,,,,,1.02
