days,len_day,Period_T,R,length_macroperiod,length_microperiod_energy,J,n_scenario,startup_cost,startup_time,initial_stock,capacity_unit,holding_cost,energy_startup,energy_product,D_0,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,scenario0,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,scenario10,scenario11,scenario12,scenario13,scenario14,scenario15,scenario16,scenario17,scenario18,scenario19,scenario20,scenario21,scenario22,scenario23,scenario24,scenario25,scenario26,scenario27,scenario28,scenario29,scenario30,scenario31,scenario32,scenario33,scenario34,scenario35,scenario36,scenario37,scenario38,scenario39,scenario40,scenario41,scenario42,scenario43,scenario44,scenario45,scenario46,scenario47,scenario48,scenario49,scenario50,scenario51,scenario52,scenario53,scenario54,scenario55,scenario56,scenario57,scenario58,scenario59,scenario60,scenario61,scenario62,scenario63,scenario64,scenario65,scenario66,scenario67,scenario68,scenario69,scenario70,scenario71,scenario72,scenario73,scenario74,scenario75,scenario76,scenario77,scenario78,scenario79,scenario80,scenario81,scenario82,scenario83,scenario84,scenario85,scenario86,scenario87,scenario88,scenario89,scenario90,scenario91,scenario92,scenario93,scenario94,scenario95,scenario96,scenario97,scenario98,scenario99,battery_cap,charge_lim,discharge_lim,charge_efficiency,discharge_efficiency,trans_efficiency,energy_purchase_price
4.0,16.0,8.0,64.0,480.0,60.0,15.0,100.0,200.0,60.0,896.0,0.05,0.05,10.0,0.13,449.0,466.0,437.0,448.0,437.0,429.0,448.0,438.0,444.0,437.0,440.0,454.0,465.0,460.0,468.0,2.63,2.65,2.35,3.68,3.38,1.49,0.0,0.0,4.46,2.13,1.71,2.83,3.84,2.65,0.7,4.83,5.75,0.0,4.73,2.98,0.15,2.81,5.96,6.91,9.64,8.24,2.63,6.98,1.63,2.17,0.79,3.31,3.99,6.37,4.83,2.48,4.51,2.9,4.77,0.0,1.78,2.55,0.78,2.14,3.42,5.11,1.95,1.19,1.91,5.53,3.51,0.75,4.02,3.36,2.07,4.56,0.55,0.0,3.25,5.2,1.83,0.8,0.76,4.6,3.41,0.0,3.01,0.0,0.0,3.79,3.77,3.74,5.57,8.01,1.74,3.02,6.08,4.19,0.47,4.43,4.33,1.85,5.48,0.83,6.35,2.55,0.8,0.9,0.0,4.13,2.91,4.14,2.59,7.25,3.53,0.12,0.92,0.91,4.92,1.53,100.0,100.0,100.0,0.95,0.95,0.95,0.96
,,,,,,,,200.0,60.0,133.0,0.05,0.05,10.0,0.13,446.0,434.0,459.0,445.0,452.0,453.0,443.0,438.0,451.0,444.0,437.0,457.0,437.0,434.0,450.0,9.57,9.61,8.53,13.93,13.79,6.85,1.76,0.0,17.46,9.2,6.92,10.3,14.88,11.04,3.64,17.56,20.1,0.0,21.3,10.86,2.44,11.65,19.6,24.56,30.83,27.73,11.44,24.3,3.95,8.7,6.37,12.33,14.06,19.83,18.44,9.52,17.14,11.32,19.1,1.93,8.03,10.58,5.63,6.44,14.16,17.85,8.61,5.99,7.95,19.98,11.93,4.71,14.47,11.62,7.02,17.05,5.68,0.0,12.79,18.92,8.86,5.22,4.81,18.12,14.24,0.0,11.01,0.0,0.0,14.33,13.69,15.98,19.42,30.81,8.33,13.18,22.41,16.01,5.11,16.1,16.4,8.99,20.83,3.18,19.32,11.02,4.86,4.6,0.0,14.68,12.39,14.51,9.26,26.78,16.05,4.39,4.93,6.19,18.58,6.88,,,,,,,1.22
,,,,,,,,200.0,60.0,665.0,0.05,0.05,10.0,0.13,464.0,450.0,443.0,461.0,436.0,463.0,453.0,422.0,447.0,449.0,459.0,460.0,433.0,450.0,435.0,23.43,27.83,22.27,38.47,33.09,21.52,14.28,4.24,42.61,23.65,23.85,27.33,38.35,30.63,10.25,43.55,43.62,0.0,48.86,26.03,13.34,27.05,41.13,55.91,66.11,57.41,29.48,49.93,11.71,15.84,12.14,30.98,34.32,49.45,44.56,21.38,44.5,30.13,42.21,10.77,25.1,23.55,17.01,23.69,35.24,42.31,24.96,22.7,23.14,51.01,27.68,16.41,33.4,26.39,20.29,44.07,15.57,0.0,29.64,47.89,27.4,15.58,13.03,44.36,35.31,8.09,31.18,1.25,0.0,36.98,27.74,43.53,39.82,66.6,28.25,33.18,52.58,40.76,22.17,36.97,39.29,23.73,48.32,13.04,43.5,29.41,17.1,14.59,0.78,35.67,31.72,36.74,24.02,57.84,37.87,16.1,14.9,22.3,43.85,22.09,,,,,,,1.26
,,,,,,,,200.0,60.0,411.0,0.05,0.05,10.0,0.13,445.0,456.0,455.0,437.0,459.0,450.0,445.0,453.0,451.0,450.0,447.0,438.0,449.0,460.0,445.0,44.24,66.84,42.23,65.03,61.5,38.45,37.46,14.56,81.87,52.75,50.12,40.0,69.93,62.95,29.6,77.44,78.14,0.0,88.14,45.79,27.01,53.98,62.14,94.94,103.58,94.16,56.12,86.21,27.89,34.1,22.96,50.21,73.79,83.32,73.08,46.36,76.04,52.77,68.61,23.34,43.44,47.27,31.85,46.86,57.03,72.81,48.17,50.82,39.67,92.94,55.93,37.5,52.65,56.74,40.49,71.01,26.14,2.51,61.12,83.06,42.7,28.01,22.95,76.62,64.06,22.65,57.8,16.99,8.54,66.08,41.24,70.21,61.13,113.45,53.19,56.85,86.48,66.08,34.69,66.68,60.6,48.66,82.14,33.73,64.68,53.33,29.23,29.23,13.63,65.81,60.06,65.17,47.04,89.03,50.67,39.69,30.36,40.34,64.36,40.17,,,,,,,1.2
,,,,,,,,200.0,60.0,271.0,0.05,0.05,10.0,0.13,449.0,428.0,426.0,456.0,444.0,449.0,453.0,442.0,423.0,436.0,446.0,476.0,441.0,453.0,446.0,57.8,84.01,67.74,93.73,95.6,59.37,56.48,24.01,106.06,85.53,81.86,70.37,91.89,84.89,50.08,99.7,104.13,20.72,119.96,62.27,36.64,87.1,90.56,135.83,119.86,118.54,76.35,123.22,39.43,54.3,41.53,71.79,99.18,114.7,94.74,74.09,89.42,79.6,100.42,46.8,65.27,61.87,42.27,82.51,70.08,85.78,67.68,77.43,51.92,116.97,72.2,64.61,79.67,83.14,56.8,85.13,46.53,24.24,83.56,98.01,55.3,52.18,42.81,108.03,84.57,41.08,70.42,33.77,23.7,86.94,57.85,95.58,88.71,143.84,65.88,76.86,91.69,99.1,55.02,81.4,88.16,72.91,122.78,49.28,90.78,88.92,34.4,37.67,26.71,85.47,64.56,87.0,59.95,117.6,77.87,62.66,42.13,64.37,88.24,49.32,,,,,,,1.12
,,,,,,,,200.0,60.0,1208.0,0.05,0.05,10.0,0.13,457.0,445.0,462.0,434.0,447.0,437.0,436.0,437.0,452.0,454.0,443.0,448.0,453.0,456.0,448.0,49.38,90.66,76.26,102.17,97.56,75.49,68.73,39.71,110.51,89.46,73.6,65.52,90.23,92.98,44.36,106.46,106.47,46.23,118.66,55.25,48.92,82.17,100.55,147.25,117.19,117.19,74.2,111.27,58.4,58.53,41.89,70.0,92.13,116.97,83.39,73.76,84.58,78.81,101.91,50.8,84.07,71.29,48.92,103.27,72.22,98.42,90.41,85.84,65.55,111.64,80.34,62.48,88.1,95.94,72.13,83.12,50.06,31.59,97.65,107.2,65.74,74.34,59.23,122.98,96.71,40.83,70.87,37.17,42.9,107.4,72.11,91.91,93.93,133.64,69.26,84.52,104.46,100.45,66.42,71.87,89.55,71.32,132.73,58.47,79.16,99.38,41.82,46.04,43.78,90.15,71.33,104.84,77.52,130.16,93.85,67.51,51.66,59.78,93.65,51.35,,,,,,,0.8
,,,,,,,,200.0,60.0,1409.0,0.05,0.05,10.0,0.13,454.0,451.0,454.0,429.0,444.0,448.0,463.0,472.0,450.0,427.0,452.0,445.0,449.0,450.0,451.0,64.27,91.29,82.41,112.89,106.0,87.16,60.05,63.7,118.53,105.86,89.6,67.63,92.73,108.32,52.6,117.81,110.04,74.36,117.85,82.78,49.69,92.9,89.42,150.77,126.65,123.89,77.92,113.6,70.41,88.42,48.36,77.06,108.35,120.92,92.41,82.34,100.41,85.64,122.06,47.75,79.59,97.73,49.41,121.85,99.87,118.82,102.42,103.23,80.42,110.69,100.46,69.91,105.05,105.78,76.99,89.04,75.69,44.25,110.45,116.49,78.69,94.04,68.35,132.72,90.99,37.87,71.16,45.34,65.34,123.5,85.14,84.22,97.62,125.2,70.34,89.92,109.14,109.45,74.84,60.57,87.85,74.9,138.18,86.76,78.23,106.11,66.12,70.76,64.21,83.88,81.52,121.11,103.9,127.76,95.38,70.18,63.57,74.25,90.14,65.76,,,,,,,0.74
,,,,,,,,200.0,60.0,61.0,0.05,0.05,10.0,0.13,448.0,447.0,449.0,436.0,442.0,437.0,429.0,456.0,427.0,460.0,448.0,468.0,460.0,460.0,450.0,71.91,94.84,94.36,111.28,90.36,76.48,67.23,82.77,108.55,101.95,111.55,68.91,95.63,106.91,60.4,118.08,108.11,77.43,98.21,78.07,68.47,103.91,80.11,143.63,113.62,132.66,65.24,109.38,69.33,77.38,45.45,69.23,115.35,104.07,89.12,92.57,102.92,95.76,128.05,60.54,89.45,106.29,53.86,135.41,106.11,114.44,109.13,102.86,88.26,95.19,101.77,92.7,111.7,101.47,84.58,88.16,76.55,42.36,92.89,98.17,82.08,81.67,75.27,121.46,78.78,28.68,75.39,56.38,71.76,119.96,77.54,91.18,82.91,127.39,57.67,90.77,102.11,100.6,66.1,60.7,83.14,86.08,129.09,90.01,78.79,100.52,74.31,75.33,83.46,91.03,100.76,115.75,96.58,108.73,108.24,56.07,79.13,84.2,86.11,67.81,,,,,,,0.76
,,,,,,,,200.0,60.0,642.0,0.05,0.05,10.0,0.13,,,,,,,,,,,,,,,,63.7,78.06,72.55,83.41,72.66,57.61,65.93,68.34,84.91,82.3,82.5,61.79,78.61,81.54,70.53,100.09,90.89,50.56,72.76,57.44,72.34,66.23,72.31,120.11,101.03,102.88,62.47,90.57,54.91,53.4,38.42,34.01,87.13,83.24,76.51,66.91,73.23,71.42,96.94,42.68,77.78,81.19,58.36,107.14,89.47,80.35,86.9,89.33,67.48,89.31,78.64,78.05,96.01,82.95,85.94,84.08,78.35,46.09,70.85,99.54,66.87,86.88,63.04,109.37,69.83,30.68,62.75,66.01,68.82,79.76,60.92,69.47,66.16,105.21,35.34,71.57,87.19,76.74,57.82,46.84,65.69,65.78,89.76,66.51,71.21,80.45,58.99,67.79,87.9,72.3,87.04,87.01,69.98,83.84,82.91,52.83,58.81,85.56,76.75,61.73,,,,,,,0.9
,,,,,,,,200.0,60.0,410.0,0.05,0.05,10.0,0.13,,,,,,,,,,,,,,,,42.06,48.82,43.61,48.01,52.09,37.59,47.04,44.09,37.8,49.95,43.27,34.35,42.02,50.49,44.78,56.27,51.98,30.41,41.89,44.62,45.79,38.72,41.33,68.44,46.69,61.4,39.74,53.29,36.95,25.79,27.38,22.78,46.38,45.45,38.46,42.39,41.37,44.02,61.61,26.84,51.31,43.53,37.77,50.38,57.85,48.06,47.18,53.51,41.44,53.03,47.21,43.32,54.77,39.52,48.98,47.25,50.91,34.71,44.53,58.24,42.65,50.37,35.34,64.58,47.11,25.01,37.99,48.07,36.0,46.16,40.27,39.46,40.65,61.45,26.2,38.33,54.92,52.17,30.27,33.95,36.89,43.35,51.62,38.69,41.49,46.94,31.63,47.01,51.04,39.13,52.52,55.35,42.77,47.45,57.1,33.2,35.02,55.63,54.54,36.28,,,,,,,1.02
