days,len_day,Period_T,R,length_macroperiod,length_microperiod_energy,J,n_scenario,startup_cost,startup_time,initial_stock,capacity_unit,holding_cost,energy_startup,energy_product,D_0,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,scenario0,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,scenario10,scenario11,scenario12,scenario13,scenario14,scenario15,scenario16,scenario17,scenario18,scenario19,scenario20,scenario21,scenario22,scenario23,scenario24,scenario25,scenario26,scenario27,scenario28,scenario29,scenario30,scenario31,scenario32,scenario33,scenario34,scenario35,scenario36,scenario37,scenario38,scenario39,scenario40,scenario41,scenario42,scenario43,scenario44,scenario45,scenario46,scenario47,scenario48,scenario49,scenario50,scenario51,scenario52,scenario53,scenario54,scenario55,scenario56,scenario57,scenario58,scenario59,scenario60,scenario61,scenario62,scenario63,scenario64,scenario65,scenario66,scenario67,scenario68,scenario69,scenario70,scenario71,scenario72,scenario73,scenario74,scenario75,scenario76,scenario77,scenario78,scenario79,scenario80,scenario81,scenario82,scenario83,scenario84,scenario85,scenario86,scenario87,scenario88,scenario89,scenario90,scenario91,scenario92,scenario93,scenario94,scenario95,scenario96,scenario97,scenario98,scenario99,battery_cap,charge_lim,discharge_lim,charge_efficiency,discharge_efficiency,trans_efficiency,energy_purchase_price
4.0,16.0,8.0,64.0,480.0,60.0,15.0,100.0,200.0,60.0,933.0,0.05,0.05,10.0,0.13,447.0,441.0,438.0,446.0,442.0,474.0,444.0,457.0,445.0,451.0,447.0,451.0,450.0,456.0,452.0,0.74,2.74,0.18,8.9,7.6,4.19,7.41,8.23,1.6,5.8,5.68,1.46,6.65,0.04,3.57,1.64,2.19,0.86,1.87,1.81,7.2,1.39,6.54,1.91,6.08,5.07,2.02,4.19,4.64,5.05,2.49,3.81,2.34,8.08,6.58,5.05,1.65,1.28,4.32,5.5,3.26,3.5,2.01,1.79,1.76,7.27,4.68,3.31,0.01,0.73,3.01,4.74,6.5,5.3,0.62,3.24,8.56,8.53,3.0,0.0,0.93,0.55,0.0,0.06,1.61,0.31,1.05,2.91,1.31,1.42,1.33,2.81,5.53,4.12,6.53,3.32,3.58,1.85,1.58,1.14,2.49,2.72,3.61,4.61,6.23,5.89,3.71,5.79,0.17,0.0,2.25,4.14,5.89,1.85,4.58,3.31,0.0,2.99,0.0,4.68,100.0,250.0,250.0,0.95,0.95,0.95,0.96
,,,,,,,,200.0,60.0,81.0,0.05,0.05,10.0,0.13,452.0,455.0,442.0,453.0,422.0,450.0,438.0,460.0,440.0,441.0,461.0,449.0,431.0,421.0,446.0,3.28,10.7,1.98,30.48,26.41,15.76,25.66,28.12,6.34,21.15,17.37,7.29,22.91,1.11,13.63,8.9,9.51,3.75,8.16,6.2,26.82,7.79,24.81,7.28,20.42,19.4,9.87,15.67,18.91,18.93,9.23,14.93,10.1,28.58,23.89,20.65,8.27,5.73,19.13,18.07,13.15,14.63,7.58,9.53,8.03,24.46,16.24,13.78,3.05,5.46,12.49,18.22,24.13,19.23,3.29,13.23,31.02,30.01,10.45,2.12,3.29,3.31,0.0,1.36,9.67,3.34,6.74,9.7,5.32,9.63,7.23,11.67,20.24,15.31,21.96,13.28,11.16,7.66,6.3,6.79,11.35,9.36,12.8,16.24,21.42,19.77,14.88,22.58,3.95,0.75,10.78,15.89,22.33,8.99,18.1,11.84,0.25,11.68,3.33,15.39,,,,,,,1.22
,,,,,,,,200.0,60.0,469.0,0.05,0.05,10.0,0.13,469.0,459.0,453.0,439.0,461.0,458.0,442.0,432.0,433.0,443.0,456.0,449.0,442.0,458.0,446.0,16.16,22.63,7.32,67.9,57.65,38.28,56.71,61.07,15.34,50.6,46.04,14.94,47.26,8.75,31.81,22.2,31.54,12.46,23.26,16.4,64.19,17.18,49.89,19.64,46.55,44.14,26.38,34.57,43.06,44.37,25.31,32.42,29.62,61.55,57.05,46.32,24.07,19.36,42.75,40.94,30.2,31.5,21.46,25.25,24.27,53.03,40.35,38.98,7.34,16.14,26.54,46.78,58.88,44.39,12.24,33.86,65.54,65.75,24.59,12.48,11.64,12.56,1.83,5.35,23.63,13.49,18.8,18.52,14.27,24.73,19.28,30.23,43.78,38.64,48.77,34.09,24.9,22.63,19.4,21.35,37.5,19.36,33.41,42.12,46.85,47.79,38.71,56.4,13.79,6.58,28.22,36.31,53.54,22.71,42.66,29.8,1.12,29.59,16.2,29.82,,,,,,,1.26
,,,,,,,,200.0,60.0,161.0,0.05,0.05,10.0,0.13,452.0,449.0,432.0,463.0,450.0,463.0,436.0,439.0,460.0,443.0,449.0,443.0,433.0,441.0,451.0,40.19,45.95,23.61,116.88,90.41,77.72,91.64,99.46,36.62,89.91,74.34,31.9,80.43,22.89,58.13,51.5,60.27,33.16,42.32,35.13,97.15,23.25,77.33,30.37,75.27,73.78,56.92,61.98,72.0,72.57,47.14,51.85,55.16,93.79,95.46,76.04,47.68,42.55,65.83,64.11,49.92,51.69,43.54,53.3,44.8,91.6,68.37,75.16,19.68,32.79,44.7,86.84,91.99,77.26,34.03,52.26,103.34,99.67,43.97,26.09,31.84,31.81,0.0,21.65,46.08,25.85,37.89,34.05,32.21,43.3,33.48,51.48,76.1,67.57,76.52,55.36,43.43,49.57,45.75,44.51,62.05,41.82,62.57,70.01,74.75,80.9,62.57,99.14,38.07,15.83,45.39,59.47,76.9,45.25,74.26,58.58,16.1,56.64,40.42,62.49,,,,,,,1.2
,,,,,,,,200.0,60.0,460.0,0.05,0.05,10.0,0.13,452.0,455.0,441.0,436.0,430.0,460.0,456.0,443.0,461.0,440.0,440.0,447.0,464.0,451.0,450.0,64.08,58.76,41.45,149.77,116.54,115.27,127.4,126.22,68.59,117.74,96.67,54.1,105.58,39.92,78.85,87.87,73.53,50.98,66.28,44.39,123.07,26.03,107.19,48.06,99.46,104.34,88.57,85.51,91.14,88.27,73.41,70.5,78.9,115.46,131.68,87.85,69.81,50.38,78.62,83.43,73.87,76.63,61.78,79.14,50.89,106.9,98.9,102.49,32.96,61.24,67.15,117.79,110.35,102.87,55.25,65.09,129.91,131.09,60.55,35.91,56.09,68.41,1.17,45.79,68.2,37.41,54.91,45.72,46.76,76.08,57.99,65.46,92.0,99.01,88.76,76.26,62.4,72.85,75.16,66.56,72.15,53.92,72.58,92.57,110.39,114.01,88.97,127.25,58.49,24.28,74.56,72.15,93.26,82.39,102.07,87.07,24.06,86.86,55.42,87.5,,,,,,,1.12
,,,,,,,,200.0,60.0,1052.0,0.05,0.05,10.0,0.13,437.0,452.0,435.0,426.0,454.0,454.0,441.0,434.0,445.0,433.0,452.0,473.0,438.0,461.0,442.0,79.07,48.63,44.58,136.97,126.73,120.35,114.68,122.57,63.91,109.5,102.15,66.86,104.76,40.38,80.67,95.27,81.3,69.69,76.97,63.09,112.46,31.2,103.04,71.6,108.59,103.78,93.59,79.37,97.21,91.49,85.49,64.24,83.51,123.56,147.06,84.11,71.21,56.58,73.14,82.75,92.69,84.62,65.88,71.58,56.27,111.69,112.63,99.97,32.62,64.68,75.78,103.91,107.99,98.31,83.12,66.38,140.1,136.01,71.38,38.31,71.23,83.63,8.44,57.91,68.67,48.29,55.81,56.21,59.74,92.46,65.66,81.79,97.8,102.1,78.9,91.44,63.35,96.09,86.59,67.32,80.08,72.45,69.48,102.94,132.5,116.54,97.92,122.3,65.97,41.7,77.82,62.72,100.45,83.15,107.96,93.66,29.79,82.01,65.29,86.36,,,,,,,0.8
,,,,,,,,200.0,60.0,610.0,0.05,0.05,10.0,0.13,433.0,442.0,459.0,432.0,452.0,457.0,448.0,464.0,464.0,468.0,457.0,438.0,462.0,452.0,451.0,93.06,57.4,53.18,138.13,137.49,124.64,116.95,112.22,65.32,110.57,100.85,68.04,115.66,73.14,96.88,113.5,95.65,91.57,87.95,76.31,120.7,22.85,122.11,76.35,108.84,98.31,114.0,74.58,97.55,94.37,87.41,61.84,91.02,137.11,161.12,74.61,69.44,68.92,78.41,77.48,100.78,107.67,80.02,71.28,51.66,131.13,107.11,103.6,41.16,81.55,79.39,112.3,110.05,100.95,85.25,81.82,149.77,132.77,82.07,41.36,81.92,86.75,29.49,81.37,84.29,53.23,69.44,77.81,79.71,109.26,86.3,98.91,99.22,106.6,86.19,113.97,63.29,103.44,86.14,80.13,90.71,90.4,87.63,128.81,151.47,121.3,100.02,120.44,89.99,59.13,78.67,81.01,107.91,84.07,129.47,95.82,43.46,94.65,73.42,88.29,,,,,,,0.74
,,,,,,,,200.0,60.0,1587.0,0.05,0.05,10.0,0.13,458.0,467.0,436.0,445.0,453.0,446.0,460.0,458.0,442.0,428.0,448.0,453.0,460.0,455.0,481.0,102.86,53.14,79.82,113.44,128.44,123.42,126.59,105.05,75.18,101.16,98.92,70.88,109.56,76.08,122.73,121.17,84.61,93.19,95.91,86.88,114.9,46.78,132.45,71.17,92.5,89.74,111.26,76.07,100.24,95.12,85.04,68.29,88.57,124.6,153.42,67.3,64.81,66.85,86.3,74.78,111.86,105.69,84.22,78.8,51.08,131.43,89.73,88.24,59.22,100.94,77.03,116.64,99.73,103.5,88.67,93.73,134.38,130.68,87.87,53.44,84.99,85.91,32.33,83.72,95.76,63.56,72.25,78.24,78.86,108.72,78.97,85.19,99.09,108.86,90.19,100.53,75.01,94.61,87.24,94.17,69.86,102.33,98.81,112.27,146.11,105.88,85.48,122.98,81.68,69.27,71.98,95.45,112.07,86.44,134.28,97.1,45.12,89.93,82.88,79.27,,,,,,,0.76
,,,,,,,,200.0,60.0,1061.0,0.05,0.05,10.0,0.13,,,,,,,,,,,,,,,,76.82,52.72,68.57,84.63,111.43,96.77,102.44,94.24,64.28,89.88,101.29,69.92,87.16,60.57,96.96,105.23,52.33,75.4,75.2,71.93,88.81,57.12,94.69,56.84,71.0,84.24,89.98,52.41,83.76,79.15,82.73,63.66,72.76,98.44,114.19,61.41,62.54,61.22,84.25,54.17,90.45,81.13,74.64,60.98,43.23,112.91,74.71,77.18,76.18,77.71,52.1,110.07,86.16,93.9,70.32,77.93,113.03,99.62,75.87,43.54,68.23,66.46,27.26,69.8,75.27,69.66,56.29,68.55,62.56,87.69,73.75,57.81,89.86,97.41,68.17,83.43,66.91,75.58,78.1,83.95,48.58,93.61,87.53,95.64,107.31,79.5,59.31,97.32,66.09,61.8,50.29,83.33,95.55,70.2,98.55,89.02,38.09,78.62,79.0,74.57,,,,,,,0.9
,,,,,,,,200.0,60.0,47.0,0.05,0.05,10.0,0.13,,,,,,,,,,,,,,,,44.34,42.48,41.99,54.35,67.82,50.88,59.21,50.51,38.08,53.97,62.96,36.94,52.12,41.02,56.06,56.79,34.1,49.04,41.23,38.24,51.31,35.43,50.1,36.71,41.97,55.5,49.04,28.54,47.2,43.88,54.42,44.21,46.41,49.13,57.11,37.16,52.74,42.46,55.7,39.88,52.67,47.54,50.54,37.07,29.4,61.28,48.69,46.18,55.17,42.84,32.34,70.5,46.78,53.03,51.66,50.85,66.78,54.56,41.06,23.63,39.63,42.57,23.49,40.87,43.95,49.28,37.8,34.31,39.96,56.42,50.94,26.93,53.21,59.81,38.17,43.06,37.42,51.15,46.19,57.7,36.52,54.23,46.23,42.37,62.27,44.15,35.14,54.86,53.25,35.42,35.76,41.63,49.2,41.73,51.66,50.58,22.7,49.66,45.75,42.38,,,,,,,1.02
