days,len_day,Period_T,R,length_macroperiod,length_microperiod_energy,J,n_scenario,startup_cost,startup_time,initial_stock,capacity_unit,holding_cost,energy_startup,energy_product,D_0,D_1,D_2,D_3,D_4,D_5,D_6,scenario0,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,scenario10,scenario11,scenario12,scenario13,scenario14,scenario15,scenario16,scenario17,scenario18,scenario19,scenario20,scenario21,scenario22,scenario23,scenario24,scenario25,scenario26,scenario27,scenario28,scenario29,scenario30,scenario31,scenario32,scenario33,scenario34,scenario35,scenario36,scenario37,scenario38,scenario39,scenario40,scenario41,scenario42,scenario43,scenario44,scenario45,scenario46,scenario47,scenario48,scenario49,scenario50,scenario51,scenario52,scenario53,scenario54,scenario55,scenario56,scenario57,scenario58,scenario59,scenario60,scenario61,scenario62,scenario63,scenario64,scenario65,scenario66,scenario67,scenario68,scenario69,scenario70,scenario71,scenario72,scenario73,scenario74,scenario75,scenario76,scenario77,scenario78,scenario79,scenario80,scenario81,scenario82,scenario83,scenario84,scenario85,scenario86,scenario87,scenario88,scenario89,scenario90,scenario91,scenario92,scenario93,scenario94,scenario95,scenario96,scenario97,scenario98,scenario99,battery_cap,charge_lim,discharge_lim,charge_efficiency,discharge_efficiency,trans_efficiency,energy_purchase_price
4.0,16.0,8.0,64.0,480.0,60.0,7.0,100.0,200.0,60.0,1705.0,0.05,0.05,10.0,0.13,847.0,821.0,820.0,801.0,843.0,826.0,843.0,5.25,1.01,0.77,2.89,6.06,0.0,5.01,7.08,3.54,4.97,1.85,5.36,5.29,0.0,2.76,2.57,0.0,1.99,2.37,1.63,4.86,1.87,1.8,4.33,1.59,7.5,3.82,5.47,0.0,1.81,0.63,5.95,0.0,1.53,2.93,3.44,0.0,3.36,0.0,2.55,4.95,0.86,7.47,5.33,0.0,6.97,5.4,4.44,1.8,1.17,0.0,4.12,3.17,0.32,2.85,2.66,2.91,0.0,0.25,7.73,1.46,1.97,1.86,5.45,5.0,4.39,5.39,5.84,2.77,6.4,6.22,0.0,2.68,5.2,0.0,1.69,5.93,4.37,0.94,3.26,3.23,2.18,0.0,5.99,4.39,6.14,4.29,3.14,5.05,0.7,0.0,0.0,6.87,0.85,0.0,1.36,7.2,4.69,6.22,3.6,100.0,100.0,100.0,0.95,0.95,0.95,0.96
,,,,,,,,200.0,60.0,578.0,0.05,0.05,10.0,0.13,812.0,811.0,836.0,798.0,819.0,840.0,817.0,23.52,5.86,5.07,11.45,23.27,0.0,16.05,23.52,14.21,19.02,5.48,20.48,19.61,0.0,10.25,10.84,0.0,9.61,9.06,7.01,18.86,6.38,7.89,13.36,8.84,28.35,16.36,19.14,0.0,7.66,4.58,23.19,1.25,7.25,11.87,14.64,0.0,14.31,0.0,11.93,18.33,7.57,25.6,18.65,0.0,26.94,20.13,17.15,7.73,4.85,0.0,15.04,13.58,1.24,11.31,12.67,10.97,0.0,4.99,25.46,5.05,8.16,9.34,18.87,19.38,16.5,17.57,20.78,11.55,22.58,23.31,2.91,10.9,18.44,0.0,9.71,22.86,14.93,6.67,12.79,11.51,9.88,0.0,19.33,17.62,21.69,15.53,13.85,17.49,6.31,2.48,0.0,26.3,5.33,0.0,5.77,24.96,19.78,23.04,15.03,,,,,,,1.22
,,,,,,,,200.0,60.0,1495.0,0.05,0.05,10.0,0.13,861.0,818.0,871.0,830.0,784.0,818.0,802.0,55.71,15.48,10.14,29.0,55.25,1.89,41.64,50.28,37.53,46.65,17.29,52.28,44.97,7.42,24.82,26.68,2.62,28.85,25.92,21.63,39.97,13.03,24.37,33.95,21.8,64.24,40.29,43.33,2.52,18.93,22.44,54.8,6.88,18.97,30.52,41.98,0.0,33.72,0.0,35.23,33.23,18.19,58.86,47.12,8.39,58.37,47.83,44.13,20.98,15.63,0.0,32.84,37.65,9.35,24.59,32.72,28.48,1.02,14.48,56.3,12.77,19.53,27.46,44.89,44.89,40.4,40.33,44.52,31.27,55.0,48.91,15.03,31.25,44.18,6.08,25.19,52.52,29.72,21.77,30.42,27.19,24.46,0.0,41.3,39.03,47.1,35.01,34.73,43.07,20.53,13.07,2.22,60.48,16.97,6.25,16.22,52.6,47.6,54.69,40.22,,,,,,,1.26
,,,,,,,,200.0,60.0,73.0,0.05,0.05,10.0,0.13,794.0,865.0,817.0,821.0,802.0,860.0,803.0,90.34,30.42,31.11,63.47,100.46,17.59,72.97,78.32,67.87,83.53,41.32,97.48,71.29,23.72,44.32,56.26,5.59,62.9,42.79,39.32,61.34,31.06,46.14,56.46,47.7,98.52,60.0,74.69,13.93,29.52,41.72,88.62,8.03,40.64,51.38,83.31,9.52,53.63,15.02,55.8,44.81,34.32,89.2,76.21,32.59,98.63,71.74,78.03,34.59,36.1,13.38,56.28,76.73,11.37,29.91,42.7,60.99,16.12,38.78,90.18,33.79,41.12,53.84,80.16,76.84,70.23,65.57,64.81,56.63,88.94,80.34,38.45,56.8,69.61,35.81,53.41,88.51,59.3,47.31,66.55,51.62,53.37,3.34,63.06,64.54,84.62,69.68,57.15,73.26,36.91,33.25,16.15,96.5,30.07,30.0,31.49,91.57,91.91,92.35,77.77,,,,,,,1.2
,,,,,,,,200.0,60.0,1024.0,0.05,0.05,10.0,0.13,801.0,817.0,826.0,828.0,831.0,824.0,809.0,111.69,50.81,58.78,99.01,134.23,36.04,101.41,110.21,103.33,111.51,61.98,111.96,89.38,42.6,58.09,97.95,21.29,90.61,77.04,67.19,79.35,50.24,75.46,66.2,84.4,114.39,75.46,101.3,40.57,51.11,62.42,112.72,24.55,73.36,70.59,121.16,26.46,72.45,35.8,72.41,68.01,46.45,116.79,82.31,55.0,119.12,79.05,96.37,35.85,49.86,34.27,84.18,122.5,36.71,46.22,73.34,74.04,20.85,60.28,115.39,60.73,62.02,90.97,106.26,94.18,93.94,97.18,98.57,82.68,111.69,103.05,50.85,75.97,80.23,47.41,82.53,116.77,86.91,58.94,77.95,71.88,87.31,12.65,85.37,79.75,114.37,87.57,85.03,111.18,49.64,52.62,32.6,134.97,53.75,61.86,50.65,112.47,112.11,107.33,105.05,,,,,,,1.12
,,,,,,,,200.0,60.0,113.0,0.05,0.05,10.0,0.13,791.0,809.0,829.0,826.0,821.0,831.0,843.0,101.61,55.1,69.98,97.42,132.82,46.36,100.96,115.87,109.09,112.34,59.25,107.53,96.72,63.99,67.89,115.38,35.97,93.7,101.46,91.37,95.77,47.86,97.54,75.91,79.73,110.24,81.42,119.68,56.95,68.3,70.27,119.16,34.39,93.58,70.36,117.12,36.51,77.07,29.74,89.32,60.95,55.84,98.96,79.35,46.5,121.08,75.49,112.14,27.56,55.52,40.72,88.18,125.68,50.44,64.59,77.32,83.3,35.62,57.58,112.63,83.34,77.27,92.67,112.27,103.95,90.77,109.25,104.39,98.3,122.73,114.81,78.91,74.8,78.69,48.61,86.85,127.49,93.18,75.16,81.61,73.86,99.15,25.14,87.24,82.37,105.07,107.16,90.33,115.45,60.1,52.17,43.9,137.48,61.45,57.47,47.07,109.71,112.34,100.14,114.44,,,,,,,0.8
,,,,,,,,200.0,60.0,1390.0,0.05,0.05,10.0,0.13,832.0,835.0,780.0,830.0,796.0,812.0,823.0,109.62,62.61,80.55,91.12,138.64,69.2,126.08,131.69,117.18,117.39,71.64,108.53,95.57,87.09,72.94,114.01,50.2,114.56,115.88,107.29,105.49,62.24,113.36,87.98,68.55,114.35,98.14,140.91,70.75,73.56,92.89,123.61,51.15,96.82,71.16,118.1,44.08,93.24,40.79,105.55,80.09,53.85,108.63,90.53,62.44,126.06,88.24,125.11,42.28,67.35,55.51,98.47,120.43,66.45,84.07,64.44,85.68,68.33,66.39,119.2,88.8,92.06,87.07,111.07,122.53,101.58,117.75,120.73,98.83,124.8,112.23,94.09,85.25,70.34,45.52,82.5,144.89,104.46,88.7,93.65,87.21,114.1,36.34,91.16,86.91,130.06,128.48,96.18,114.53,78.91,59.9,55.33,149.35,79.0,69.1,57.73,107.12,124.67,100.81,112.38,,,,,,,0.74
,,,,,,,,,,,,,,,798.0,830.0,819.0,843.0,818.0,813.0,817.0,110.13,69.35,92.89,89.09,150.43,74.45,121.27,128.18,123.83,110.48,83.64,98.64,109.28,90.09,69.04,112.82,68.77,122.87,88.03,90.9,102.62,71.74,107.95,89.11,57.62,103.16,96.94,128.03,58.38,76.23,93.97,129.55,58.23,89.7,84.65,108.01,46.3,96.15,65.3,94.67,76.97,65.82,102.36,98.43,68.14,111.81,90.95,112.15,49.59,50.22,73.5,105.36,106.12,46.24,93.54,66.62,94.17,87.32,40.85,118.69,102.48,80.86,80.2,109.37,113.64,103.83,113.11,116.48,120.63,109.64,88.53,100.63,102.94,79.5,51.72,75.77,143.24,97.36,88.35,78.61,96.52,106.82,39.78,87.07,100.05,122.59,122.47,105.3,114.18,76.98,63.13,62.56,144.4,91.0,55.14,60.25,78.0,116.4,117.87,111.68,,,,,,,0.76
,,,,,,,,,,,,,,,,,,,,,,90.83,64.59,66.06,79.21,117.9,75.21,92.7,100.41,103.0,89.33,70.58,83.55,82.36,88.65,54.95,92.46,61.45,96.32,75.93,61.19,75.34,63.53,91.66,61.99,51.01,78.55,85.98,92.07,54.14,61.14,76.61,104.06,49.41,87.17,68.25,85.21,40.23,86.14,56.35,73.11,77.56,63.44,71.47,79.78,64.48,94.11,88.88,93.63,41.87,42.38,66.72,81.18,79.17,33.57,76.07,57.15,81.97,70.88,40.44,91.44,90.85,62.46,74.84,84.19,87.14,77.89,79.82,104.46,102.5,98.68,74.74,89.53,87.18,70.33,39.11,52.94,110.54,91.95,70.21,58.47,97.79,76.96,42.46,80.36,82.58,86.93,98.29,99.66,90.24,69.13,44.29,63.77,106.68,80.88,51.41,49.28,71.19,82.74,100.53,93.3,,,,,,,0.9
,,,,,,,,,,,,,,,,,,,,,,56.04,40.7,33.12,47.24,64.43,57.86,50.15,58.81,58.08,50.0,46.84,52.91,39.71,48.4,26.72,54.98,36.53,49.17,51.86,38.3,42.03,42.43,55.31,40.54,34.96,45.03,53.78,49.81,37.31,35.91,46.2,54.68,33.35,56.88,40.28,57.52,26.78,49.11,33.2,40.29,41.06,40.8,41.94,48.15,39.31,55.51,57.14,58.97,28.05,26.0,40.16,45.12,48.08,16.66,44.34,37.28,43.8,43.25,30.37,54.53,46.83,37.89,41.06,47.1,48.47,47.98,47.64,64.99,49.68,51.96,41.2,57.95,46.36,39.2,23.53,32.89,67.58,59.35,44.13,37.98,59.8,44.35,32.64,41.61,46.22,48.56,59.26,59.59,52.09,32.91,33.4,43.9,65.81,42.69,36.82,34.01,40.93,48.99,54.42,51.59,,,,,,,1.02
