days,len_day,Period_T,R,length_macroperiod,length_microperiod_energy,J,n_scenario,startup_cost,startup_time,initial_stock,capacity_unit,holding_cost,energy_startup,energy_product,D_0,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,scenario0,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,scenario10,scenario11,scenario12,scenario13,scenario14,scenario15,scenario16,scenario17,scenario18,scenario19,scenario20,scenario21,scenario22,scenario23,scenario24,scenario25,scenario26,scenario27,scenario28,scenario29,scenario30,scenario31,scenario32,scenario33,scenario34,scenario35,scenario36,scenario37,scenario38,scenario39,scenario40,scenario41,scenario42,scenario43,scenario44,scenario45,scenario46,scenario47,scenario48,scenario49,scenario50,scenario51,scenario52,scenario53,scenario54,scenario55,scenario56,scenario57,scenario58,scenario59,scenario60,scenario61,scenario62,scenario63,scenario64,scenario65,scenario66,scenario67,scenario68,scenario69,scenario70,scenario71,scenario72,scenario73,scenario74,scenario75,scenario76,scenario77,scenario78,scenario79,scenario80,scenario81,scenario82,scenario83,scenario84,scenario85,scenario86,scenario87,scenario88,scenario89,scenario90,scenario91,scenario92,scenario93,scenario94,scenario95,scenario96,scenario97,scenario98,scenario99,battery_cap,charge_lim,discharge_lim,charge_efficiency,discharge_efficiency,trans_efficiency,energy_purchase_price
4.0,16.0,8.0,64.0,480.0,60.0,10.0,100.0,200.0,60.0,165.0,0.05,0.05,10.0,0.13,644.0,685.0,673.0,674.0,672.0,650.0,659.0,672.0,669.0,659.0,6.58,0.5,3.33,4.55,2.62,2.2,8.81,3.89,0.75,4.43,7.45,3.51,2.68,0.81,1.32,0.0,0.41,3.24,7.74,2.83,3.17,0.11,8.69,2.94,2.2,0.71,0.64,4.25,3.09,3.42,6.12,0.0,1.14,0.93,0.76,2.73,2.33,0.55,2.82,3.69,0.0,0.6,3.71,0.0,1.96,5.43,0.38,1.23,7.51,6.41,3.38,3.75,6.77,3.94,6.53,6.93,1.81,1.87,0.0,3.34,4.28,2.05,3.54,2.4,5.35,6.43,5.01,0.0,4.77,6.83,3.37,3.06,2.04,5.36,5.84,3.02,0.0,3.7,0.0,0.21,3.81,0.8,0.0,2.9,4.42,2.09,2.0,0.14,2.51,0.0,2.97,6.6,1.51,2.23,2.89,5.11,5.15,2.96,1.81,0.0,100.0,100.0,100.0,0.95,0.95,0.95,0.96
,,,,,,,,200.0,60.0,285.0,0.05,0.05,10.0,0.13,677.0,656.0,696.0,664.0,669.0,681.0,640.0,682.0,650.0,682.0,22.93,3.13,12.33,16.89,12.19,8.06,30.71,13.09,5.65,15.76,25.58,14.34,13.65,4.33,4.42,0.0,4.26,11.98,26.75,11.78,13.65,3.89,30.3,12.61,10.43,2.8,3.1,16.54,14.16,13.83,22.08,0.0,6.71,5.08,6.58,10.82,9.99,5.08,12.13,14.23,0.0,4.48,14.39,0.8,9.1,20.61,2.36,6.86,24.49,22.87,14.05,13.19,23.54,16.49,20.79,26.57,7.62,6.35,1.36,13.23,16.33,8.09,15.31,8.22,20.33,23.8,18.99,1.33,18.16,24.86,11.91,12.38,8.69,18.18,21.16,11.67,1.45,13.91,0.0,4.6,13.17,4.82,0.0,9.53,18.61,10.25,7.91,3.17,10.37,0.0,11.49,23.42,7.85,8.85,12.74,18.31,19.32,12.21,8.43,0.0,,,,,,,1.22
,,,,,,,,200.0,60.0,1010.0,0.05,0.05,10.0,0.13,657.0,688.0,673.0,660.0,676.0,680.0,710.0,671.0,658.0,690.0,48.49,11.72,30.13,46.02,30.8,22.54,69.72,37.16,18.89,39.51,55.14,36.68,34.0,12.94,16.49,0.0,14.46,23.97,56.71,32.1,31.06,15.74,63.16,31.14,26.03,13.06,10.01,39.64,35.03,32.88,53.26,0.0,21.5,18.96,22.6,30.35,26.56,13.93,28.14,35.82,0.0,13.19,34.21,11.6,22.94,41.24,10.94,22.32,50.58,51.06,37.14,33.32,52.86,40.05,44.12,59.82,20.57,22.7,5.08,33.17,40.47,20.11,49.64,22.85,49.08,50.34,45.5,13.49,45.83,57.83,28.82,32.43,21.81,42.37,47.56,30.9,13.34,30.16,5.11,17.1,27.59,19.7,6.47,20.79,44.22,28.37,18.34,12.15,25.47,11.36,29.13,52.29,20.49,17.83,36.11,42.27,44.52,32.2,21.14,0.0,,,,,,,1.26
,,,,,,,,200.0,60.0,363.0,0.05,0.05,10.0,0.13,656.0,657.0,693.0,658.0,672.0,678.0,636.0,645.0,679.0,683.0,84.15,25.48,61.54,87.29,55.86,41.98,118.71,57.88,34.39,71.95,84.64,51.88,65.53,22.98,27.85,17.13,31.81,44.36,86.02,54.31,52.35,24.9,106.15,60.67,45.54,33.45,28.84,64.64,59.88,51.76,83.47,2.52,31.97,37.94,39.88,59.94,52.45,24.81,55.41,66.22,4.13,26.58,60.57,35.43,38.35,75.62,21.98,44.25,80.68,81.16,75.41,53.88,77.39,66.76,65.15,96.85,37.14,52.37,24.47,64.38,70.56,42.79,78.49,46.31,88.73,86.79,69.19,32.93,80.91,94.82,59.17,62.42,37.12,75.6,76.71,50.85,36.32,55.06,21.33,32.02,53.02,35.62,28.71,46.44,73.12,55.73,36.73,27.51,49.91,28.72,48.68,86.5,42.99,36.21,63.91,62.67,77.17,56.92,44.45,0.0,,,,,,,1.2
,,,,,,,,200.0,60.0,1169.0,0.05,0.05,10.0,0.13,701.0,683.0,670.0,675.0,693.0,678.0,673.0,669.0,676.0,654.0,118.83,44.42,86.49,110.72,63.12,46.98,145.43,77.64,37.47,99.83,110.12,48.71,91.48,37.93,47.66,43.38,42.48,55.25,97.74,67.17,71.56,44.9,134.89,74.95,66.54,44.22,47.41,88.74,53.7,58.49,113.82,17.02,49.78,41.5,61.11,82.94,89.71,35.67,85.07,93.64,30.77,33.77,87.9,47.93,43.16,108.13,30.16,80.74,101.37,98.53,110.51,70.69,91.0,93.54,77.53,117.0,63.04,68.02,27.59,86.44,101.29,70.9,106.43,70.77,109.52,105.6,91.64,61.72,87.45,112.7,85.48,82.44,71.18,103.49,102.98,67.56,58.25,76.29,40.45,48.3,68.66,46.34,39.97,61.9,84.05,65.05,43.06,41.75,64.18,46.65,80.07,119.05,66.3,70.11,90.65,92.67,113.55,89.72,69.81,26.96,,,,,,,1.12
,,,,,,,,200.0,60.0,1009.0,0.05,0.05,10.0,0.13,659.0,698.0,650.0,685.0,668.0,677.0,685.0,674.0,664.0,656.0,120.48,58.0,85.95,116.27,76.36,45.28,128.93,90.88,49.4,112.95,113.38,62.32,92.33,51.66,75.09,47.24,41.13,64.39,107.43,64.43,76.48,63.49,144.19,85.1,65.39,51.27,41.54,91.01,57.91,54.2,123.05,29.18,44.49,31.13,74.55,88.71,97.03,39.13,88.09,93.52,52.98,36.9,96.96,36.59,55.61,117.86,45.91,86.64,104.78,96.98,113.21,64.07,101.04,96.59,91.69,108.97,76.4,76.31,32.64,82.45,96.81,78.66,111.88,78.56,99.83,109.75,90.68,83.08,93.79,123.8,99.02,90.4,89.87,120.28,101.94,55.13,54.58,76.92,51.11,67.53,86.47,54.28,56.62,66.55,86.17,60.96,44.55,57.94,64.63,60.07,88.3,122.68,90.6,75.56,101.39,90.59,118.35,96.54,74.62,36.06,,,,,,,0.8
,,,,,,,,200.0,60.0,208.0,0.05,0.05,10.0,0.13,642.0,677.0,686.0,684.0,651.0,669.0,663.0,672.0,678.0,656.0,141.36,71.14,95.45,125.5,85.96,44.78,131.1,92.06,75.91,116.03,109.93,61.89,100.1,57.9,92.05,55.26,47.61,68.18,114.32,74.77,85.36,83.31,155.41,82.31,84.22,60.03,45.63,104.32,71.62,68.67,138.62,42.57,46.92,45.79,87.01,95.33,98.4,47.77,92.04,95.07,73.3,64.47,109.53,40.73,73.19,124.3,71.76,86.5,104.04,87.76,124.67,72.05,118.92,110.65,94.35,111.27,82.4,83.6,45.74,61.65,100.34,100.1,133.27,85.95,108.97,116.39,103.66,105.12,88.25,140.38,112.92,96.39,111.63,133.38,116.12,62.27,62.98,88.36,65.98,77.3,106.32,54.94,88.09,88.1,93.21,78.35,62.49,65.28,73.66,88.51,100.66,131.27,116.76,80.77,88.78,95.51,113.32,105.88,95.55,48.77,,,,,,,0.74
,,,,,,,,200.0,60.0,248.0,0.05,0.05,10.0,0.13,662.0,650.0,653.0,666.0,626.0,675.0,710.0,658.0,670.0,652.0,135.38,72.75,85.05,124.61,101.02,49.35,125.73,97.9,64.55,115.68,94.06,71.71,88.19,59.2,80.09,56.38,65.4,67.94,108.89,79.25,89.37,84.21,139.36,73.45,80.61,81.64,50.3,100.18,75.83,62.38,124.42,50.71,50.71,52.92,90.95,92.6,76.17,54.05,94.5,84.19,86.8,71.92,118.37,49.35,94.23,101.74,75.53,76.8,95.85,92.27,130.43,78.02,131.01,98.86,71.44,107.01,80.44,91.02,69.14,55.17,92.98,98.84,134.26,87.77,92.72,94.09,83.62,108.81,79.33,135.59,115.24,82.59,102.08,116.99,113.37,68.08,77.9,94.54,66.38,91.37,112.02,61.25,115.2,91.29,94.74,83.03,83.41,68.72,49.3,102.5,95.3,114.62,92.18,75.98,84.42,81.71,113.68,108.24,77.95,56.57,,,,,,,0.76
,,,,,,,,200.0,60.0,1011.0,0.05,0.05,10.0,0.13,,,,,,,,,,,106.02,61.45,79.32,103.34,80.95,40.94,97.05,77.9,53.43,94.48,76.85,59.71,75.61,47.43,73.82,55.56,67.7,59.75,84.09,79.93,65.6,61.23,119.13,61.42,70.67,51.26,41.32,83.32,54.23,62.2,109.65,46.19,40.95,54.96,64.9,78.03,69.18,61.25,76.62,80.97,72.04,65.98,87.92,58.19,74.8,72.92,52.95,68.26,77.44,77.03,97.06,74.22,110.76,79.14,56.31,91.77,73.83,81.18,68.95,41.39,77.42,93.6,108.38,68.13,77.87,69.77,52.0,82.81,65.34,106.98,89.62,63.6,78.79,99.88,95.47,64.55,60.98,75.27,53.98,68.74,83.37,58.58,89.64,76.26,88.25,68.54,72.68,61.1,40.45,83.89,78.61,96.69,72.61,54.73,67.28,62.97,88.24,85.46,72.8,45.62,,,,,,,0.9
,,,,,,,,200.0,60.0,1395.0,0.05,0.05,10.0,0.13,,,,,,,,,,,50.62,31.76,48.36,58.07,46.74,31.62,51.02,38.58,41.06,54.06,41.58,42.12,43.6,31.37,46.78,34.32,43.74,29.33,46.93,51.73,30.85,35.08,65.65,35.81,50.92,32.97,26.48,46.28,29.47,29.39,59.8,29.36,26.98,43.22,34.59,53.12,45.09,39.69,46.71,47.04,41.56,45.71,47.43,42.27,54.8,44.27,30.1,35.24,41.05,51.32,67.65,48.72,63.33,45.62,37.04,47.54,43.34,47.41,39.89,28.29,48.49,58.41,59.68,32.27,40.83,42.58,25.01,56.59,44.17,64.81,62.02,44.57,44.24,58.41,59.84,41.22,38.0,42.46,34.32,44.88,51.18,34.09,60.21,43.54,55.46,46.97,47.29,35.93,24.42,46.05,44.54,55.91,47.6,29.31,48.56,39.7,46.85,49.98,50.69,19.13,,,,,,,1.02
