days,len_day,Period_T,R,length_macroperiod,length_microperiod_energy,J,n_scenario,startup_cost,startup_time,initial_stock,capacity_unit,holding_cost,energy_startup,energy_product,D_0,D_1,D_2,scenario0,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,scenario10,scenario11,scenario12,scenario13,scenario14,scenario15,scenario16,scenario17,scenario18,scenario19,scenario20,scenario21,scenario22,scenario23,scenario24,scenario25,scenario26,scenario27,scenario28,scenario29,scenario30,scenario31,scenario32,scenario33,scenario34,scenario35,scenario36,scenario37,scenario38,scenario39,scenario40,scenario41,scenario42,scenario43,scenario44,scenario45,scenario46,scenario47,scenario48,scenario49,scenario50,scenario51,scenario52,scenario53,scenario54,scenario55,scenario56,scenario57,scenario58,scenario59,scenario60,scenario61,scenario62,scenario63,scenario64,scenario65,scenario66,scenario67,scenario68,scenario69,scenario70,scenario71,scenario72,scenario73,scenario74,scenario75,scenario76,scenario77,scenario78,scenario79,scenario80,scenario81,scenario82,scenario83,scenario84,scenario85,scenario86,scenario87,scenario88,scenario89,scenario90,scenario91,scenario92,scenario93,scenario94,scenario95,scenario96,scenario97,scenario98,scenario99,battery_cap,charge_lim,discharge_lim,charge_efficiency,discharge_efficiency,trans_efficiency,energy_purchase_price
3.0,16.0,6.0,48.0,480.0,60.0,3.0,100.0,200.0,60.0,1605.0,0.05,0.05,10.0,0.05,2565.0,2609.0,2585.0,5.72,5.28,0.0,0.0,3.28,2.29,7.22,4.51,3.34,1.93,7.1,0.0,0.0,3.42,9.84,1.74,0.46,2.01,3.12,1.85,3.13,1.03,4.06,0.65,0.0,2.29,5.71,4.47,0.0,3.65,10.12,4.9,1.68,3.61,6.5,3.45,5.07,4.06,6.15,9.24,3.42,4.49,1.66,2.79,1.77,0.99,5.53,3.91,4.83,3.29,5.61,4.37,3.08,3.35,1.16,0.19,5.73,1.84,4.42,5.72,2.65,8.02,3.32,0.88,4.13,6.3,1.97,8.12,5.89,3.12,0.47,1.26,2.46,3.78,2.1,0.0,0.89,0.56,6.6,1.82,3.32,3.61,5.99,5.18,0.0,3.86,1.54,4.94,5.17,3.73,1.62,2.48,2.23,0.0,5.96,0.0,4.2,2.29,5.2,2.59,100.0,250.0,250.0,0.95,0.95,0.95,0.96
,,,,,,,,200.0,60.0,3281.0,0.05,0.05,10.0,0.08,2627.0,2527.0,2536.0,20.44,18.59,2.58,0.58,13.29,10.95,27.46,15.45,11.86,7.59,23.23,0.0,0.34,10.63,33.8,6.94,4.32,9.25,11.96,6.46,14.5,4.9,16.13,4.2,0.0,9.12,20.26,16.24,0.0,12.09,34.28,17.99,8.97,15.93,24.55,13.51,18.1,14.88,21.85,33.07,11.5,15.46,4.89,13.38,9.38,6.5,19.19,14.18,16.78,14.68,20.64,16.85,10.53,13.46,5.21,3.59,20.58,9.58,18.57,19.57,11.65,29.19,13.6,3.26,13.22,21.59,9.55,30.24,21.22,13.5,6.12,6.67,10.71,14.9,8.77,0.0,5.03,5.96,23.14,9.4,12.71,14.61,24.56,18.19,0.0,13.82,6.86,18.38,20.21,15.14,7.37,10.3,7.64,0.49,22.08,0.0,15.94,9.36,19.31,14.4,,,,,,,1.22
,,,,,,,,200.0,60.0,2355.0,0.05,0.05,10.0,0.13,2702.0,2434.0,2680.0,47.29,40.79,13.34,4.72,34.67,30.98,69.29,36.14,29.08,18.35,56.57,0.62,4.94,27.96,73.73,17.18,15.44,24.85,30.07,18.65,37.65,11.69,36.78,12.64,6.25,24.51,43.67,37.7,3.46,33.57,75.49,39.39,26.27,41.05,47.42,32.91,42.19,29.65,53.61,71.37,28.58,33.53,10.5,26.53,28.72,26.2,43.29,37.92,39.07,32.04,46.5,37.87,28.46,31.74,18.68,16.7,39.16,26.22,41.46,42.02,33.12,62.69,34.16,9.42,33.65,48.99,29.02,67.2,52.46,29.91,19.14,13.47,22.92,40.53,24.65,7.2,12.69,18.99,52.05,25.58,27.68,25.06,55.96,45.87,0.0,30.31,21.97,45.22,42.67,37.55,24.74,30.43,18.69,8.99,49.95,5.77,33.29,20.42,43.94,32.91,,,,,,,1.26
,,,,,,,,,,,,,,0.18,2674.0,2517.0,2681.0,83.88,76.1,34.47,24.98,60.53,51.31,112.66,61.27,56.38,36.14,86.08,12.81,21.32,53.6,120.99,33.51,34.47,44.78,52.76,39.17,66.56,33.09,52.93,34.11,17.42,56.18,71.86,61.81,13.19,58.1,109.12,66.28,41.97,75.42,83.23,63.24,77.06,40.55,89.5,108.24,53.23,66.4,23.31,43.34,51.51,48.0,75.97,68.0,76.71,54.95,76.93,67.36,56.01,55.62,30.97,30.74,61.09,47.91,68.37,75.48,68.01,97.51,59.49,30.44,54.68,81.37,56.1,109.71,83.08,49.39,28.07,19.71,42.8,70.87,40.8,29.69,27.21,46.36,78.88,42.8,57.28,39.56,90.64,74.33,5.65,51.84,41.9,81.48,72.28,75.71,56.26,57.08,41.5,25.73,87.26,15.51,63.5,35.77,75.82,49.69,,,,,,,1.2
,,,,,,,,,,,,,,0.23,2531.0,2498.0,2501.0,112.22,98.76,46.62,52.11,81.09,73.29,134.0,81.82,85.22,47.34,106.59,32.94,47.32,77.39,154.31,58.02,52.65,56.84,78.46,54.02,89.17,50.75,76.61,61.8,33.58,97.28,105.26,89.88,19.28,68.09,125.78,88.41,67.54,94.07,114.47,101.54,97.8,53.66,112.3,125.47,79.05,77.8,45.2,68.79,81.39,74.23,101.19,82.16,101.26,79.98,99.06,82.69,84.26,76.63,55.3,55.57,79.07,72.44,93.02,94.83,100.14,131.93,93.05,53.22,68.24,106.75,77.35,139.5,108.88,77.88,41.68,33.45,59.67,99.73,59.0,51.41,40.14,72.82,98.01,67.44,90.38,61.47,102.08,94.97,15.66,79.92,66.8,102.52,101.65,110.48,71.97,71.89,64.47,51.06,112.45,31.42,91.05,65.23,110.15,73.1,,,,,,,1.12
,,,,,,,,,,,,,,,2504.0,2548.0,2746.0,117.01,91.64,40.89,65.33,86.93,63.1,114.49,75.62,89.98,55.36,105.88,47.04,57.82,79.77,152.72,76.35,55.93,64.08,91.4,55.89,96.17,53.88,93.35,70.41,46.11,107.42,109.52,85.7,40.64,91.45,124.52,80.61,80.42,103.47,118.15,110.48,84.48,65.16,105.2,122.71,81.85,81.33,60.88,78.68,87.85,82.34,100.96,89.71,116.32,84.17,103.89,76.89,85.99,78.49,63.81,55.79,85.28,79.43,88.83,95.93,106.6,131.68,89.53,56.32,71.49,107.6,75.78,139.63,104.85,80.62,66.18,53.97,66.22,110.57,59.75,65.43,39.23,90.0,103.08,77.32,100.63,61.9,108.49,94.76,23.72,81.99,73.36,106.96,105.95,112.53,68.86,86.9,71.62,79.93,110.24,39.59,88.45,76.2,131.78,84.54,,,,,,,0.8
,,,,,,,,,,,,,,,,,,122.3,98.53,42.51,79.37,101.58,73.59,135.59,92.63,90.87,62.43,123.33,66.02,67.67,90.85,151.37,80.08,64.61,69.55,111.88,62.67,88.27,60.81,95.71,73.13,80.13,123.02,117.67,92.14,63.35,109.84,150.68,94.26,98.15,114.62,128.32,125.17,92.71,64.43,97.54,118.56,87.14,92.23,73.5,92.37,103.64,102.12,108.19,94.15,113.5,92.42,115.76,82.72,102.43,92.3,88.08,59.33,100.21,88.19,91.06,106.3,101.63,129.48,105.39,72.42,78.93,120.46,88.94,141.66,100.94,81.77,82.63,68.15,69.78,109.62,77.01,82.01,51.68,96.15,109.94,98.48,99.55,71.51,118.88,93.78,46.03,73.38,99.41,109.87,123.83,126.73,97.39,96.49,93.53,96.28,123.93,48.27,85.14,84.36,133.59,98.22,,,,,,,0.74
,,,,,,,,,,,,,,,,,,122.02,112.6,36.2,71.34,93.85,81.75,121.51,80.28,86.71,70.65,124.72,85.64,62.8,81.49,138.3,81.27,79.37,73.49,94.46,77.37,84.26,53.1,84.53,74.52,91.35,119.49,121.5,88.67,71.33,107.58,151.86,94.11,103.12,95.93,144.89,106.07,98.29,61.32,99.68,98.06,99.75,83.16,78.72,106.81,100.75,97.22,96.12,93.33,103.4,84.21,112.63,76.34,103.31,98.6,78.83,52.16,93.83,79.28,87.51,99.82,97.84,116.76,106.43,72.45,77.07,118.62,107.2,125.68,107.44,77.48,85.22,67.28,78.77,113.65,81.1,75.62,57.68,93.27,90.36,107.92,92.37,83.1,98.73,78.67,62.61,75.09,100.94,93.89,122.08,115.65,99.37,95.16,111.38,96.4,114.38,63.43,75.95,81.45,128.78,72.7,,,,,,,0.76
,,,,,,,,,,,,,,,,,,83.07,91.94,28.04,63.19,71.89,63.41,111.81,62.83,73.51,48.41,107.9,75.14,57.86,83.67,108.77,77.06,66.11,57.36,71.14,65.63,74.52,44.77,65.47,53.33,81.46,89.46,84.99,77.41,58.51,82.5,113.82,69.77,88.21,81.15,109.04,78.01,76.39,57.41,85.13,84.49,80.34,63.54,54.09,91.18,86.91,80.94,69.7,90.37,84.72,68.63,90.58,71.02,82.54,75.37,81.03,52.33,71.9,63.95,80.88,73.26,85.62,95.07,96.03,63.44,60.25,89.33,67.23,100.24,72.4,64.01,65.61,63.44,73.03,95.71,64.58,60.18,45.52,75.56,60.74,87.75,76.37,78.99,84.97,61.24,51.13,74.06,87.99,69.3,88.86,96.73,82.55,81.26,102.29,80.77,104.24,72.7,59.67,69.26,93.33,65.74,,,,,,,0.9
,,,,,,,,,,,,,,,,,,57.82,52.29,16.76,41.01,44.96,44.71,70.95,40.35,52.96,27.55,58.69,38.74,38.96,48.78,56.41,45.3,39.61,36.06,37.83,44.81,35.43,34.7,35.66,32.09,46.96,52.34,53.44,45.09,43.09,47.92,71.06,39.9,55.97,47.99,65.06,51.98,47.06,35.29,58.47,49.39,49.33,40.07,34.42,46.73,47.61,45.62,40.52,57.48,53.54,36.19,46.57,49.99,43.51,39.24,50.63,32.57,44.42,40.53,48.24,54.06,51.09,54.64,61.53,35.73,33.17,47.08,39.5,56.93,43.44,42.75,39.52,39.51,51.32,51.57,47.94,41.36,27.41,44.25,36.62,55.19,46.66,41.99,46.45,36.83,29.55,46.5,50.21,33.8,48.46,47.03,47.76,51.34,51.71,50.07,61.91,43.97,30.92,38.44,44.21,38.73,,,,,,,1.02
