days,len_day,Period_T,R,length_macroperiod,length_microperiod_energy,J,n_scenario,startup_cost,startup_time,initial_stock,capacity_unit,holding_cost,energy_startup,energy_product,D_0,D_1,D_2,D_3,D_4,D_5,D_6,scenario0,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,scenario10,scenario11,scenario12,scenario13,scenario14,scenario15,scenario16,scenario17,scenario18,scenario19,scenario20,scenario21,scenario22,scenario23,scenario24,scenario25,scenario26,scenario27,scenario28,scenario29,scenario30,scenario31,scenario32,scenario33,scenario34,scenario35,scenario36,scenario37,scenario38,scenario39,scenario40,scenario41,scenario42,scenario43,scenario44,scenario45,scenario46,scenario47,scenario48,scenario49,scenario50,scenario51,scenario52,scenario53,scenario54,scenario55,scenario56,scenario57,scenario58,scenario59,scenario60,scenario61,scenario62,scenario63,scenario64,scenario65,scenario66,scenario67,scenario68,scenario69,scenario70,scenario71,scenario72,scenario73,scenario74,scenario75,scenario76,scenario77,scenario78,scenario79,scenario80,scenario81,scenario82,scenario83,scenario84,scenario85,scenario86,scenario87,scenario88,scenario89,scenario90,scenario91,scenario92,scenario93,scenario94,scenario95,scenario96,scenario97,scenario98,scenario99,battery_cap,charge_lim,discharge_lim,charge_efficiency,discharge_efficiency,trans_efficiency,energy_purchase_price
3.0,16.0,6.0,48.0,480.0,60.0,7.0,100.0,200.0,60.0,1701.0,0.05,0.05,10.0,0.05,1090.0,1135.0,1098.0,1093.0,1167.0,1075.0,1102.0,0.0,0.69,0.47,5.03,4.33,7.18,8.52,1.07,0.56,4.62,0.0,0.0,4.21,0.96,2.84,3.47,7.06,4.39,0.0,4.16,4.41,1.71,3.81,2.03,2.47,1.59,3.6,1.72,1.41,3.26,0.0,1.94,5.28,2.57,2.0,0.0,6.69,3.81,4.98,2.82,3.1,1.14,2.38,0.0,2.63,4.42,3.78,7.02,6.92,1.61,0.1,6.14,3.72,6.75,4.6,0.18,2.61,0.0,3.01,4.35,2.06,1.79,5.88,2.9,5.07,5.25,4.3,1.34,3.6,3.78,0.85,6.31,1.4,2.4,7.5,2.7,0.52,4.9,4.1,1.77,7.3,3.05,2.47,3.22,4.4,8.73,5.01,2.83,2.47,3.18,3.09,2.28,0.67,4.17,1.78,2.37,0.0,2.76,1.32,0.0,100.0,250.0,250.0,0.95,0.95,0.95,0.96
,,,,,,,,200.0,60.0,833.0,0.05,0.05,10.0,0.08,1150.0,1092.0,1142.0,1084.0,1091.0,1052.0,1169.0,0.0,3.35,3.91,19.62,17.1,26.81,28.23,5.96,5.42,16.36,0.0,0.0,15.33,5.56,9.01,14.42,26.38,16.84,0.0,15.03,15.45,9.39,13.41,9.92,8.75,6.25,15.17,7.83,7.89,14.1,0.0,9.17,20.22,10.86,7.69,0.0,22.99,13.79,19.31,9.29,11.68,4.31,11.07,2.26,11.55,16.73,12.65,22.33,25.64,7.41,4.9,22.99,14.03,23.24,18.35,5.1,12.54,2.88,12.08,15.47,9.93,8.83,22.97,13.95,19.5,18.35,15.73,9.62,16.64,14.48,5.21,22.6,7.0,10.2,27.27,10.04,3.71,17.42,17.81,9.09,23.99,11.57,12.82,13.49,16.96,30.54,19.9,12.08,9.74,12.75,12.02,10.04,4.04,15.2,9.91,9.55,1.59,11.52,5.88,0.62,,,,,,,1.22
,,,,,,,,200.0,60.0,1107.0,0.05,0.05,10.0,0.13,1086.0,1095.0,1066.0,1064.0,1044.0,1116.0,1110.0,2.69,8.26,11.73,44.78,45.54,61.44,66.15,15.4,16.19,40.16,0.0,0.47,36.77,19.68,29.4,36.21,61.8,40.49,0.0,41.76,36.31,21.28,30.22,24.83,21.8,10.12,35.49,15.64,19.48,34.53,0.99,21.1,45.99,26.33,26.34,3.59,50.32,36.57,42.81,28.42,28.56,14.87,30.54,12.46,34.31,38.97,23.57,44.6,56.03,21.83,16.0,49.95,36.74,47.61,45.62,18.41,33.8,11.12,31.51,41.5,25.36,24.43,50.32,38.42,42.19,44.84,37.1,27.12,38.72,33.87,14.41,52.73,16.39,22.33,59.26,22.89,15.5,40.56,44.58,28.09,50.28,28.31,39.18,38.92,44.79,73.08,48.48,33.33,28.78,33.17,30.22,23.66,15.34,36.39,26.65,26.54,13.19,26.83,19.47,12.98,,,,,,,1.26
,,,,,,,,200.0,60.0,2687.0,0.05,0.05,10.0,0.18,1082.0,1087.0,1073.0,1108.0,1111.0,1113.0,1131.0,17.79,24.21,27.57,77.94,76.17,108.89,115.57,31.55,37.75,79.09,4.3,6.33,63.5,35.91,62.71,60.14,85.79,71.23,0.44,62.89,62.89,40.11,54.15,46.24,49.76,19.16,62.8,30.06,45.92,55.85,3.86,31.86,70.88,48.2,45.8,16.13,75.65,63.19,74.62,49.86,57.7,28.66,48.93,32.24,68.75,59.88,38.23,64.21,81.99,41.57,25.44,75.77,64.19,75.58,88.57,42.99,66.19,25.23,61.19,78.4,49.33,47.93,77.91,68.28,76.37,74.36,62.42,49.37,71.46,56.03,34.13,84.72,31.98,42.77,88.86,43.83,42.18,67.54,78.47,53.83,81.9,48.7,67.93,69.22,77.43,123.11,79.36,50.42,52.52,63.31,50.08,41.78,28.89,60.92,46.42,50.48,42.08,60.59,41.13,28.45,,,,,,,1.2
,,,,,,,,200.0,60.0,1624.0,0.05,0.05,10.0,0.23,1094.0,1081.0,1146.0,1070.0,1143.0,1111.0,1078.0,36.59,44.71,47.07,95.86,86.22,131.69,140.9,48.72,64.5,89.53,10.13,22.62,89.11,53.35,82.74,85.24,106.08,105.09,19.66,87.53,87.64,59.05,68.43,63.75,71.8,31.6,88.71,40.6,60.7,88.84,16.91,43.97,92.79,54.72,56.83,20.47,100.81,87.18,94.36,70.69,83.64,43.5,53.17,46.78,86.3,94.4,61.9,91.81,118.22,62.97,43.33,95.92,81.55,105.3,122.11,64.39,102.01,54.31,95.91,105.26,65.59,69.3,108.95,100.03,110.36,84.73,87.77,72.3,93.97,89.53,68.89,104.8,53.41,62.97,105.75,62.43,68.66,94.08,92.74,77.18,99.91,71.08,95.33,87.53,112.31,147.4,105.86,54.32,67.75,91.59,76.69,63.68,51.64,86.19,66.75,76.92,68.08,84.08,62.23,37.91,,,,,,,1.12
,,,,,,,,200.0,60.0,2401.0,0.05,0.05,10.0,0.25,1094.0,1017.0,1005.0,1121.0,1066.0,962.0,1050.0,59.91,49.32,56.57,86.32,96.13,130.27,116.36,60.76,77.82,83.84,6.06,32.05,98.26,63.03,74.11,99.68,100.72,107.8,28.87,96.22,108.31,67.72,70.79,70.24,76.68,48.15,102.08,58.09,69.56,105.44,27.22,51.67,88.64,52.36,68.85,31.19,106.2,91.32,114.72,101.21,85.05,49.41,62.18,64.95,100.02,118.05,62.03,106.36,102.22,74.79,51.02,105.62,78.7,128.92,122.61,64.55,107.8,74.23,96.47,103.21,66.78,70.17,113.8,106.94,108.4,80.84,89.89,62.72,85.58,112.35,82.96,107.16,59.8,72.8,101.1,60.41,67.79,110.19,90.99,83.23,101.6,90.16,101.79,89.35,116.73,139.0,101.89,52.74,80.97,105.4,76.34,86.63,61.5,96.89,88.39,96.12,78.08,94.87,69.09,47.64,,,,,,,0.8
,,,,,,,,200.0,60.0,777.0,0.05,0.05,10.0,0.3,,,,,,,,76.05,68.77,68.77,93.9,108.81,139.98,121.31,75.89,85.18,89.83,29.31,43.1,106.88,97.07,69.3,127.92,110.46,97.99,48.79,84.78,117.12,74.76,80.2,109.89,82.49,61.48,123.78,64.36,84.28,114.32,58.61,53.14,81.3,54.9,90.82,58.08,118.38,114.66,111.95,114.26,87.53,61.4,69.29,84.36,115.35,118.59,75.29,126.77,101.31,73.16,67.3,114.6,95.91,151.62,134.51,74.99,112.18,78.6,101.92,107.09,71.37,80.35,109.4,117.29,107.06,81.32,95.0,61.3,93.71,126.51,108.81,108.23,68.06,82.42,109.29,71.13,97.12,116.2,83.36,92.67,105.48,120.19,123.34,98.75,123.05,147.66,96.74,49.71,90.82,103.23,75.99,100.87,78.38,102.05,84.16,105.86,86.93,113.69,85.28,63.0,,,,,,,0.74
,,,,,,,,,,,,,,,,,,,,,,86.29,61.72,80.25,76.15,110.13,112.53,123.6,89.22,89.92,97.6,54.75,44.71,108.93,87.53,63.09,121.88,98.22,121.69,51.11,79.67,100.37,60.08,75.03,127.4,81.33,62.34,119.82,76.74,86.79,97.34,88.72,49.12,86.15,71.41,81.92,64.63,109.88,110.82,116.0,109.93,76.78,75.32,67.03,80.73,114.83,115.06,78.96,107.54,96.41,80.41,73.86,113.21,97.6,144.66,126.4,77.23,129.99,88.65,111.45,108.42,72.02,83.54,104.59,122.12,93.14,78.8,91.77,70.38,90.31,114.74,104.62,105.89,68.02,97.06,100.55,87.17,103.35,127.01,75.77,80.06,95.05,107.9,126.74,91.94,119.63,136.15,84.63,60.39,85.24,104.8,83.62,86.34,71.28,91.01,89.71,105.84,81.38,108.8,88.17,65.86,,,,,,,0.76
,,,,,,,,,,,,,,,,,,,,,,79.25,61.81,70.64,61.02,89.22,93.13,106.43,73.44,63.94,76.5,41.21,57.86,85.62,67.56,58.3,91.94,75.04,110.93,63.79,70.26,77.98,46.06,67.61,103.07,65.32,46.63,100.68,71.83,73.45,75.83,88.07,51.85,70.78,68.62,57.41,56.72,91.88,90.64,101.0,87.71,70.57,66.51,72.17,69.56,93.59,91.13,75.18,86.85,73.44,70.66,61.81,97.39,74.34,114.73,101.22,69.17,103.7,73.22,69.83,81.79,65.17,63.79,79.79,109.4,78.26,64.39,68.27,57.49,80.24,102.61,73.83,88.43,56.86,96.09,67.78,68.08,85.51,100.76,67.3,70.8,95.89,86.99,109.02,79.04,94.15,110.88,73.87,55.39,75.62,83.28,72.53,71.23,69.42,75.13,67.02,99.33,64.14,91.8,80.56,56.83,,,,,,,0.9
,,,,,,,,,,,,,,,,,,,,,,47.89,30.58,42.93,32.92,49.46,58.16,58.86,47.71,37.78,41.87,29.53,37.99,49.37,37.08,31.65,49.91,52.95,60.02,31.7,45.1,51.63,33.72,40.02,62.39,32.8,34.74,61.9,50.12,33.16,44.28,61.77,37.12,49.03,38.33,34.69,34.97,51.34,51.26,61.17,56.59,50.21,32.42,42.27,34.43,53.14,54.59,48.57,46.56,45.52,36.98,34.13,56.26,34.43,58.37,65.38,38.32,55.17,50.01,42.96,48.05,49.16,34.3,39.7,63.61,40.67,46.05,37.7,37.07,42.26,66.84,47.59,49.04,37.73,58.88,42.32,45.14,45.97,54.86,48.43,44.28,61.51,54.35,72.45,54.5,55.55,70.25,48.37,33.11,45.41,55.46,41.05,54.99,39.61,47.04,35.05,55.67,42.59,49.41,50.91,35.65,,,,,,,1.02
,,,,,,,,,,,,,,,,,,,,,,14.09,14.37,15.11,12.93,15.44,17.04,19.98,16.34,13.06,14.35,11.1,14.28,15.41,12.22,11.39,16.21,16.45,19.19,9.29,16.74,14.76,11.29,13.76,21.26,9.8,12.96,21.57,15.56,11.74,14.29,18.56,14.19,16.79,12.56,13.38,13.72,16.64,16.23,18.73,18.9,16.37,15.03,13.53,11.36,14.99,19.37,15.86,12.53,15.79,12.2,12.09,17.27,11.14,17.0,22.28,14.35,14.66,16.0,14.32,17.27,17.68,11.69,14.52,20.0,12.85,17.62,11.64,10.89,12.96,21.21,15.48,16.12,11.97,20.74,11.6,15.68,13.69,18.03,18.72,15.13,18.63,19.65,26.28,17.76,17.44,24.41,15.35,10.97,16.73,17.8,14.84,19.59,13.4,14.03,12.0,17.35,15.49,14.41,16.37,12.18,,,,,,,1.08
